Dataset,genus_species,trait,Original,Changed,notes
myco,Melampyrum nemorosum,ECM,1,NA,
myco,Festuca rubra,ECM,0.166666667,NA,
myco,Ulmus pumila,ECM,0.166666667,NA,
myco,Acer campestre,ECM,0.25,NA,updateonmycoFeb15
myco,Acer platanoides,ECM,0.25,NA,
myco,Acer pseudoplatanus,ECM,0.25,NA,
myco,Cephalanthera rubra,ECM,0.25,NA,
myco,Ceratopetalum apetalum,ECM,0.25,NA,
myco,Clematis vitalba,ECM,0.25,NA,
myco,Cotoneaster lucidus,ECM,0.25,NA,
myco,Crataegus laevigata,ECM,0.25,NA,
myco,Epipactis atrorubens,ECM,0.25,NA,
myco,Fraxinus excelsior,ECM,0.25,NA,
myco,Juniperus communis,ECM,0.25,NA,
myco,Juniperus virginiana,ECM,0.25,NA,
myco,Juglans regia,ECM,0.25,NA,
myco,Neottia nidus-avis,ECM,0.25,NA,
myco,Polygala vulgaris,ECM,0.25,NA,
myco,Robinia pseudoacacia,ECM,0.25,NA,
myco,Sambucus racemosa,ECM,0.25,NA,
myco,Silene acaulis,ECM,0.25,NA,
myco,Silene acaulis,ECM,0.25,NA,
myco,Sorbus aucuparia,ECM,0.25,NA,
myco,Vicia sylvatica,ECM,0.25,NA,
myco,Prunus avium,ECM,0.3,NA,
myco,Rhus typhina,ECM,0.333333333,NA,
myco,Ribes alpinum,ECM,0.416666667,NA,
myco,Adenostoma fasciculatum,ECM,0.5,NA,
myco,Buxus sempervirens,ECM,0.5,NA,
myco,Crataegus monogyna,ECM,0.5,NA,
myco,Dampiera stricta,ECM,0.5,NA,
myco,Dillwynia retorta,ECM,0.5,NA,
myco,Epipactis helleborine,ECM,0.5,NA,
myco,Epipactis microphylla,ECM,0.5,NA,
myco,Frangula alnus,ECM,0.5,NA,
myco,Homogyne alpina,ECM,0.5,NA,
myco,Ilex aquifolium,ECM,0.5,NA,
myco,Monotropa hypopitys,ECM,0.5,NA,
myco,Mycelis muralis,ECM,0.5,NA,
myco,Philadelphus tenuifolius,ECM,0.5,NA,
myco,Prunus padus,ECM,0.5,NA,
myco,Prunus serotina,ECM,0.5,NA,
myco,Prunus spinosa,ECM,0.5,NA,
myco,Pyrus pyraster,ECM,0.5,NA,
myco,Rubus nessensis,ECM,0.5,NA,
myco,Sorbus aria,ECM,0.5,NA,
myco,Tetraberlinia bifoliolata,ECM,0.5,NA,
myco,Ulmus laevis,ECM,0.5,NA,
myco,Ulmus procera,ECM,0.5,NA,
myco,Malus sylvestris,ECM,0.583333333,NA,
myco,Buxus sempervirens,AM,NA,1,
myco,Cotoneaster lucidus,AM,NA,1,
myco,Juniperus virginiana,AM,NA,1,
myco,Philadelphus tenuifolius,AM,NA,1,
myco,Prunus serotina,AM,NA,1,
myco,Prunus spinosa,AM,NA,1,
myco,Rhus typhina,AM,NA,1,
myco,Ulmus pumila,AM,NA,1,
myco,Acer campestre,AM,NA,1,
myco,Acer platanoides,AM,NA,1,
myco,Acer pseudoplatanus,AM,NA,1,
myco,Adenostoma fasciculatum,AM,NA,1,
myco,Ceratopetalum apetalum,AM,NA,NA,
myco,Clematis vitalba,AM,NA,1,
myco,Crataegus laevigata,AM,NA,0.75,
myco,Crataegus monogyna,AM,NA,0.5,
myco,Dampiera stricta,AM,NA,1,
myco,Dillwynia retorta,AM,NA,0.5,
myco,Festuca rubra,AM,NA,1,
myco,Frangula alnus,AM,NA,1,
myco,Fraxinus excelsior,AM,NA,1,
myco,Homogyne alpina,AM,NA,1,
myco,Ilex aquifolium,AM,NA,1,
myco,Juglans regia,AM,NA,1,
myco,Juniperus communis,AM,NA,1,
myco,Malus sylvestris,AM,NA,1,
myco,Mycelis muralis,AM,NA,NA,
myco,Polygala vulgaris,AM,NA,1,
myco,Prunus avium,AM,NA,1,
myco,Prunus padus,AM,NA,0.5,
myco,Pyrus pyraster,AM,NA,0.5,
myco,Ribes alpinum,AM,NA,1,
myco,Robinia pseudoacacia,AM,NA,1,
myco,Rubus nessensis,AM,NA,NA,
myco,Sambucus racemosa,AM,NA,1,
myco,Silene acaulis,AM,NA,NA,
myco,Sorbus aria,AM,NA,0.5,
myco,Sorbus aucuparia,AM,NA,1,
myco,Tetraberlinia bifoliolata,AM,NA,0,
myco,Ulmus procera,AM,NA,1,
myco,Vicia sylvatica,AM,NA,1,
myco,Rumex acetosella,AM,NA,1,
myco,Melampyrum nemorosum,AM,NA,NA,
myco,Ulmus laevis,AM,NA,NA,
myco,Cephalanthera rubra,AM,NA,0,
myco,Epipactis atrorubens,AM,NA,0,
myco,Epipactis helleborine,AM,NA,0,
myco,Epipactis microphylla,AM,NA,0,
myco,Neottia nidus-avis,AM,NA,0,
myco,Monotropa hypopitys,AM,NA,0,
myco,Buxus sempervirens,ECM,NA,0,
myco,Cotoneaster lucidus,ECM,NA,0,
myco,Juniperus virginiana,ECM,NA,0,
myco,Philadelphus tenuifolius,ECM,NA,0,
myco,Prunus serotina,ECM,NA,0,
myco,Prunus spinosa,ECM,NA,0,
myco,Rhus typhina,ECM,NA,0,
myco,Ulmus pumila,ECM,NA,0,
myco,Acer campestre,ECM,NA,0,
myco,Acer platanoides,ECM,NA,0,
myco,Acer pseudoplatanus,ECM,NA,0,
myco,Adenostoma fasciculatum,ECM,NA,0,
myco,Ceratopetalum apetalum,ECM,NA,NA,
myco,Clematis vitalba,ECM,NA,0,
myco,Crataegus laevigata,ECM,NA,0.25,
myco,Crataegus monogyna,ECM,NA,0.5,
myco,Dampiera stricta,ECM,NA,0,
myco,Dillwynia retorta,ECM,NA,0.5,
myco,Festuca rubra,ECM,NA,0,
myco,Frangula alnus,ECM,NA,0,
myco,Fraxinus excelsior,ECM,NA,0,
myco,Homogyne alpina,ECM,NA,0,
myco,Ilex aquifolium,ECM,NA,0,
myco,Juglans regia,ECM,NA,0,
myco,Juniperus communis,ECM,NA,0,
myco,Malus sylvestris,ECM,NA,0,
myco,Mycelis muralis,ECM,NA,NA,
myco,Polygala vulgaris,ECM,NA,0,
myco,Prunus avium,ECM,NA,0,
myco,Prunus padus,ECM,NA,0.5,
myco,Pyrus pyraster,ECM,NA,0.5,
myco,Ribes alpinum,ECM,NA,0,
myco,Robinia pseudoacacia,ECM,NA,0,
myco,Rubus nessensis,ECM,NA,NA,
myco,Sambucus racemosa,ECM,NA,0,
myco,Silene acaulis,ECM,NA,NA,
myco,Sorbus aria,ECM,NA,0.5,
myco,Sorbus aucuparia,ECM,NA,0,
myco,Tetraberlinia bifoliolata,ECM,NA,1,
myco,Ulmus procera,ECM,NA,0,
myco,Vicia sylvatica,ECM,NA,0,
myco,Rumex acetosella,ECM,NA,0,
myco,Melampyrum nemorosum,ECM,NA,NA,
myco,Ulmus laevis,ECM,NA,NA,
myco,Cephalanthera rubra,ECM,NA,0,
myco,Epipactis atrorubens,ECM,NA,0,
myco,Epipactis helleborine,ECM,NA,0,
myco,Epipactis microphylla,ECM,NA,0,
myco,Neottia nidus-avis,ECM,NA,0,
myco,Monotropa hypopitys,ECM,NA,0,
myco,Buxus sempervirens,NM,NA,0,
myco,Cotoneaster lucidus,NM,NA,0,
myco,Juniperus virginiana,NM,NA,0,
myco,Philadelphus tenuifolius,NM,NA,0,
myco,Prunus serotina,NM,NA,0,
myco,Prunus spinosa,NM,NA,0,
myco,Rhus typhina,NM,NA,0,
myco,Ulmus pumila,NM,NA,0,
myco,Acer campestre,NM,NA,0,
myco,Acer platanoides,NM,NA,0,
myco,Acer pseudoplatanus,NM,NA,0,
myco,Adenostoma fasciculatum,NM,NA,0,
myco,Ceratopetalum apetalum,NM,NA,NA,
myco,Clematis vitalba,NM,NA,0,
myco,Crataegus laevigata,NM,NA,0,
myco,Crataegus monogyna,NM,NA,0,
myco,Dampiera stricta,NM,NA,0,
myco,Dillwynia retorta,NM,NA,0,
myco,Festuca rubra,NM,NA,0,
myco,Frangula alnus,NM,NA,0,
myco,Fraxinus excelsior,NM,NA,0,
myco,Homogyne alpina,NM,NA,0,
myco,Ilex aquifolium,NM,NA,0,
myco,Juglans regia,NM,NA,0,
myco,Juniperus communis,NM,NA,0,
myco,Malus sylvestris,NM,NA,0,
myco,Mycelis muralis,NM,NA,NA,
myco,Polygala vulgaris,NM,NA,0,
myco,Prunus avium,NM,NA,0,
myco,Prunus padus,NM,NA,0,
myco,Pyrus pyraster,NM,NA,0,
myco,Ribes alpinum,NM,NA,0,
myco,Robinia pseudoacacia,NM,NA,0,
myco,Rubus nessensis,NM,NA,NA,
myco,Sambucus racemosa,NM,NA,0,
myco,Silene acaulis,NM,NA,NA,
myco,Sorbus aria,NM,NA,0,
myco,Sorbus aucuparia,NM,NA,0,
myco,Tetraberlinia bifoliolata,NM,NA,0,
myco,Ulmus procera,NM,NA,0,
myco,Vicia sylvatica,NM,NA,0,
myco,Rumex acetosella,NM,NA,0,
myco,Melampyrum nemorosum,NM,NA,NA,
myco,Ulmus laevis,NM,NA,NA,
myco,Cephalanthera rubra,NM,NA,0,
myco,Epipactis atrorubens,NM,NA,0,
myco,Epipactis helleborine,NM,NA,0,
myco,Epipactis microphylla,NM,NA,0,
myco,Neottia nidus-avis,NM,NA,0,
myco,Monotropa hypopitys,NM,NA,0,
myco,Buxus sempervirens,ORM,NA,0,
myco,Cotoneaster lucidus,ORM,NA,0,
myco,Juniperus virginiana,ORM,NA,0,
myco,Philadelphus tenuifolius,ORM,NA,0,
myco,Prunus serotina,ORM,NA,0,
myco,Prunus spinosa,ORM,NA,0,
myco,Rhus typhina,ORM,NA,0,
myco,Ulmus pumila,ORM,NA,0,
myco,Acer campestre,ORM,NA,0,
myco,Acer platanoides,ORM,NA,0,
myco,Acer pseudoplatanus,ORM,NA,0,
myco,Adenostoma fasciculatum,ORM,NA,0,
myco,Ceratopetalum apetalum,ORM,NA,NA,
myco,Clematis vitalba,ORM,NA,0,
myco,Crataegus laevigata,ORM,NA,0,
myco,Crataegus monogyna,ORM,NA,0,
myco,Dampiera stricta,ORM,NA,0,
myco,Dillwynia retorta,ORM,NA,0,
myco,Festuca rubra,ORM,NA,0,
myco,Frangula alnus,ORM,NA,0,
myco,Fraxinus excelsior,ORM,NA,0,
myco,Homogyne alpina,ORM,NA,0,
myco,Ilex aquifolium,ORM,NA,0,
myco,Juglans regia,ORM,NA,0,
myco,Juniperus communis,ORM,NA,0,
myco,Malus sylvestris,ORM,NA,0,
myco,Mycelis muralis,ORM,NA,NA,
myco,Polygala vulgaris,ORM,NA,0,
myco,Prunus avium,ORM,NA,0,
myco,Prunus padus,ORM,NA,0,
myco,Pyrus pyraster,ORM,NA,0,
myco,Ribes alpinum,ORM,NA,0,
myco,Robinia pseudoacacia,ORM,NA,0,
myco,Rubus nessensis,ORM,NA,NA,
myco,Sambucus racemosa,ORM,NA,0,
myco,Silene acaulis,ORM,NA,NA,
myco,Sorbus aria,ORM,NA,0,
myco,Sorbus aucuparia,ORM,NA,0,
myco,Tetraberlinia bifoliolata,ORM,NA,0,
myco,Ulmus procera,ORM,NA,0,
myco,Vicia sylvatica,ORM,NA,0,
myco,Rumex acetosella,ORM,NA,0,
myco,Melampyrum nemorosum,ORM,NA,NA,
myco,Ulmus laevis,ORM,NA,NA,
myco,Cephalanthera rubra,ORM,NA,1,
myco,Epipactis atrorubens,ORM,NA,1,
myco,Epipactis helleborine,ORM,NA,1,
myco,Epipactis microphylla,ORM,NA,1,
myco,Neottia nidus-avis,ORM,NA,1,
myco,Monotropa hypopitys,ORM,NA,0,
myco,Buxus sempervirens,MTM,NA,0,
myco,Cotoneaster lucidus,MTM,NA,0,
myco,Juniperus virginiana,MTM,NA,0,
myco,Philadelphus tenuifolius,MTM,NA,0,epiphyte?
myco,Prunus serotina,MTM,NA,0,units problem
myco,Prunus spinosa,MTM,NA,0,inflorescence height
myco,Rhus typhina,MTM,NA,0,inflorescence height
myco,Ulmus pumila,MTM,NA,0,error
myco,Acer campestre,MTM,NA,0,crazy
myco,Acer platanoides,MTM,NA,0,crazy
myco,Acer pseudoplatanus,MTM,NA,0,
myco,Adenostoma fasciculatum,MTM,NA,0,
myco,Ceratopetalum apetalum,MTM,NA,NA,
myco,Clematis vitalba,MTM,NA,0,
myco,Crataegus laevigata,MTM,NA,0,
myco,Crataegus monogyna,MTM,NA,0,
myco,Dampiera stricta,MTM,NA,0,
myco,Dillwynia retorta,MTM,NA,0,
myco,Festuca rubra,MTM,NA,0,
myco,Frangula alnus,MTM,NA,0,
myco,Fraxinus excelsior,MTM,NA,0,
myco,Homogyne alpina,MTM,NA,0,
myco,Ilex aquifolium,MTM,NA,0,
myco,Juglans regia,MTM,NA,0,
myco,Juniperus communis,MTM,NA,0,
myco,Malus sylvestris,MTM,NA,0,
myco,Mycelis muralis,MTM,NA,NA,
myco,Polygala vulgaris,MTM,NA,0,
myco,Prunus avium,MTM,NA,0,
myco,Prunus padus,MTM,NA,0,
myco,Pyrus pyraster,MTM,NA,0,
myco,Ribes alpinum,MTM,NA,0,
myco,Robinia pseudoacacia,MTM,NA,0,
myco,Rubus nessensis,MTM,NA,NA,
myco,Sambucus racemosa,MTM,NA,0,
myco,Silene acaulis,MTM,NA,NA,
myco,Sorbus aria,MTM,NA,0,
myco,Sorbus aucuparia,MTM,NA,0,
myco,Tetraberlinia bifoliolata,MTM,NA,0,
myco,Ulmus procera,MTM,NA,0,
myco,Vicia sylvatica,MTM,NA,0,
myco,Rumex acetosella,MTM,NA,0,
myco,Melampyrum nemorosum,MTM,NA,NA,
myco,Ulmus laevis,MTM,NA,NA,
myco,Cephalanthera rubra,MTM,NA,0,
myco,Epipactis atrorubens,MTM,NA,0,
myco,Epipactis helleborine,MTM,NA,0,
myco,Epipactis microphylla,MTM,NA,0,
myco,Neottia nidus-avis,MTM,NA,0,
myco,Monotropa hypopitys,MTM,NA,1,
MolesHeight,Phymatosorus diversifolius,maxHeight,15,NA,
MolesHeight,Gentiana campestris,maxHeight,12.4,0.3,
MolesHeight,Furcraea foetida,maxHeight,12,NA,
MolesHeight,Furcraea longaeva,maxHeight,10,NA,
MolesHeight,Globeria autumnalis,maxHeight,10,NA,
MolesHeight,Juncus antarcticus,maxHeight,10,NA,
MolesHeight,Trichomanes reniforme,maxHeight,10,NA,
LEDA,Heracleum mantegazzianum,leafletSize,9460.7,NA,
LEDA,Agrostis vinealis,leafletSize,7.25,NA,
LEDA,Clinopodium acinos,leafletSize,8.76,NA,
LEDA,Angelica archangelica,leafletSize,1018.943155,NA,
LEDA,Angelica archangelica,leafletSize,1937.7679,NA,
LEDA,Angelica archangelica,leafletSize,2856.592635,NA,
LEDA,Athyrium distentifolium,leafletSize,274.14819,NA,
LEDA,Athyrium distentifolium,leafletSize,296.4196945,NA,
LEDA,Athyrium distentifolium,leafletSize,296.4197,NA,
LEDA,Athyrium distentifolium,leafletSize,319.0400805,NA,
LEDA,Blackstonia perfoliata,leafletSize,8.15,NA,
LEDA,Leontodon autumnalis,leafletSize,20.39,NA,
LEDA,Leontodon autumnalis,leafletSize,35.92,NA,
LEDA,Hesperis matronalis,leafletSize,76.68,NA,
LEDA,Legousia hybrida,leafletSize,1.74,NA,
LEDA,Inula helenium,leafletSize,1.62,NA,
ALLDATA,Catharanthus roseus,woodiness,H,NA,
ALLDATA,Actinotus helianthi,woodiness,H,NA,
ALLDATA,Atriplex semibaccata,woodiness,W,NA,
MolesHeight,Astelia solandri,support,F,NA,
WrightOverton,Dendrobium cunninghamii,support,F,EP,
MolesHeight,Astelia solandri,maxHeight,10,NA,
MolesHeight,Lemna minor,support,F,A,
MolesHeight,Lemna minor,maxHeight,0.001,NA,
MolesHeight,Cyclea barbata,support,F,C,
Wright,Clibadium surinamense,woodiness,H,NA,
