originalName	newName
Lupinus benthami	Lupinus benthamii
Lupinus mexicana	Lupinus mexicanus
Lupinus piersonii	Lupinus peirsonii
Luzula glabatra	Luzula glabrata
Lychnis arkwrightii	Lychnis arkwrighti
Lycium chinensis	Lycium chinense
Lycium intrincatum	Lycium intricatum
Lycopersicon chilense	Lycopersicum chilense
Lycopodium casuarinoides	Lycopodium passerinoides
Lycopodium clavalum	Lycopodium clavatum
Lysiloma bahamensis	Lysiloma bahamense
Lysiloma divaricata	Lysiloma divaricatum
Lysiloma latisiliqua	Lysiloma latisiliquum
Lysimachia xproducta	Lysimachia producta
Macaranga sampsoni	Macaranga sampsonii
Machaerina sinclairi	Machaerina sinclairii
Machaerium seemanii	Machaerium seemannii
Machaerium seemanni	Machaerium seemannii
Macropanax dispermum	Macropanax dispermus
Macrotomia euchroma	Arnebia euchroma
Madhuca carassipes	Madhuca crassipes
Maesa persicaefolia	Maesa persicifolia
Magnolia campbelli	Magnolia campbellii
Magnolia candollii	Magnolia candollei
Magnolia indet	Magnolia intermedia
Maianthemum racemosa	Maianthemum racemosum
Maianthemum stellata	Maianthemum stellatum
Maianthemum trifolia	Maianthemum trifolium
Maireana georgii	Maireana georgei
Malabaila secacul	Malabaila sekakul
Malachium aquaticum	Myosoton aquaticum
Malleostemon pelitger	Malleostemon peltiger
Mallotus nesophillus	Mallotus nesophilus
Mallotus philippinensis	Mallotus philippensis
Mallotus phillippensis	Mallotus philippensis
Malus sargenti	Malus sargentii
Manilkara adans	Manilkara densiflora
Manilkara bahamaensi	Manilkara bahamensis
Manilkara nundata	Manilkara inundata
Marasmodes duemmeri	Marasmodes dummeri
Marasmodes polycephalus	Marasmodes polycephala
Mascagnia benthaniana	Mascagnia benthamiana
Mastixiodendron robustium	Mastixiodendron robustum
Matayba dominguensis	Matayba domingensis
Matelea pavonia	Matelea pavonii
Mathiola parviflora	Matthiola parviflora
Maurandya antirrhini	Maurandya antirrhiniflora
Maytenus indet	Maytenus undata
Maytenus vitis-idea	Maytenus vitis-idaea
Mecranium purpurescens	Mecranium purpurascens
Medicago aliaris	Medicago ciliaris
Medicago shepardii	Medicago shepardi
Medicago trunculata	Medicago truncatula
Medicosma sessiflora	Medicosma sessiliflora
Melaleuca leucadendron	Melaleuca leucadendra
Melica bauhinii	Melica amethystina
Melicoccus lepidopetala	Melicoccus lepidopetalus
Melicope indet	Melicope indica
Melilotus altissima	Melilotus altissimus
Melilotus dentata	Melilotus dentatus
Melilotus italica	Melilotus italicus
Melilotus neapolitana	Melilotus neapolitanus
Melilotus polinica	Melilotus polonicus
Melilotus speciosa	Melilotus speciosus
Melilotus sulcata	Melilotus sulcatus
Meliosma oldhami	Meliosma oldhamii
Meliosma selowii	Meliosma sellowii
Melissitus ruthenica	Melissitus ruthenicus
Mellissia begonifolia	Mellissia begoniifolia
Memecylon eleagni	Memecylon elaeagni
Mentha xcitrata	Mentha citrata
Mentha xverticillata	Mentha verticillata
Meriana leucantha	Meriania leucantha
Mesechites trifida	Mesechites trifidus
Messerschmidia sibirca	Messerschmidia sibirica
Metha cunninghamii	Mentha cunninghamii
Mezilaurus itauba	Mezilaurus ita-uba
Mezoneuron angolense	Caesalpinia angolense
Michelia macclurel	Michelia macclurei
Miconia cazaletti	Miconia cazaletii
Microcodon glomeratum	Microcodon glomeratus
Microdesmis caseariaefolia	Microdesmis caseariifolia
Microdesmis caseariafolia	Microdesmis caseariifolia
Microgramma ovariensis	Microgramma owariensis
Microlaena avinacea	Microlaena avenacea
Micropholis garciniaefolia	Micropholis garciniifolia
Mikania chenopodiifolia	Mikania chenopodifolia
Mikania matthewsii	Mikania mathewsii
Milletia ferruginea	Millettia ferruginea
Mimosa hafomantsima	Mimosa hafomantsina
Mimulus clevelandi	Mimulus clevelandii
Mimusops hexendra	Mimusops hexandra
Mimusops indet	Mimusops indica
Minuartia decipens	Minuartia decipiens
Mirabilis viscosus	Mirabilis viscosa
Mirbelia rubiaefolia	Mirbelia rubiifolia
Mischocarpus exannulatus	Mischocarpus exangulatus
Mitragyna indet	Mitragyna inermis
Mitragyna rubrostipulata	Mitragyna rubrostipulacea
Mitrasacme palodosa	Mitrasacme paludosa
Mitreola sessilifolium	Mitreola sessilifolia
Mitrephora moingayi	Mitrephora maingayi
Mnium spinolosum	Monadenium spinulosum
Molinia intermedia	Melinis intermedia
Mollugo molluginea	Mollugo molluginis
Monachather paradoxa	Monachather paradoxus
Monanthotaxis declina	Monanthotaxis diclina
Monoculus monstruosus	Monoculus monstrosus
Monopetalanthus pellegrini	Monopetalanthus pellegrinii
Monotes africanus	Monotes africana
Mosla diantherus	Mosla dianthera
Mouriri chamissoniana	Mouriri chamissoana
Mouriri incitheca	Mouriri uncitheca
Mouriria huberi	Mouriri huberi
Mouriria sagotima	Mouriri sagotiana
Myodocarpus vicillardii	Myodocarpus vieillardii
Myoporum insulara	Myoporum insulare
Myoporum sandwicensis	Myoporum sandwicense
Myoschilos oblonga	Myoschilos oblongum
Myosotis lyttletonensis	Myosotis lytteltonensis
Myrcia amazonia	Myrcia amazonica
Myrcianthes pseudo-mato	Myrcianthes pseudomato
Myrciaria indet	Myrciaria nettiana
Myrica asplenifolia	Myrica aspleniifolia
Myrica esculeunta	Myrica esculenta
Myrica fallax	Myrcia fallax
Myrica phillyreaefolia	Myrica phillyreifolia
Myricaria cauliflora	Myrciaria cauliflora
Myriocephalus pygmaeus	Myriocephalus pygmaea
Myriophyllum tenellum	Erymophyllum tenellum
Myristica castaneaefolia	Myristica castaneifolia
Myristica castaneifalia	Myristica castaneifolia
Myristica gillespie	Myristica gillespieana
Myristica guatteriaefolia	Myristica guatteriifolia
Myrothamnus flabellifolius	Myrothamnus flabellifolia
Myrrhoides nodosus	Myrrhoides nodosa
Myrsine lassertiana	Myrsine lessertiana
Myrsine seguinni	Myrsine seguinii
Nama demissum	Nama demissa
Nama densum	Nama densa
Nama jamaicense	Nama jamaicensis
Nama sericeum	Nama sericea
Napoleona imperialis	Napoleonaea imperialis
Narcissus gladitanus	Narcissus gaditanus
Narcissus pseudo-narcissus	Narcissus pseudonarcissus
Nasella tenuissima	Nassella tenuissima
Nectandra matudai	Nectandra matudae
Neea verticilata	Neea verticillata
Nematolepis squamosa	Nematolepis squamea
Nemuaron vieillardi	Nemuaron vieillardii
Neobalanocarpus heiii	Neobalanocarpus heimii
Neolitsea cassiaefolia	Neolitsea cassiifolia
Neolitsea obtuaifolia	Neolitsea obtusifolia
Neoluederitzia sericeocarpa	Neoluederitzia sericocarpa
Neotorularia korolkovii	Neotorularia korolkowii
Nepenthes vieillardi	Nepenthes vieillardii
Nepeta mussinii	Nepeta mussini
Nertera dichondraefolia	Nertera dichondrifolia
Netoptergium forbesii	Notopterygium forbesii
Neuracanthus richardsianus	Neuracanthus richardianus
Nicandra physaloides	Nicandra physalodes
Niemeyera sessilifolius	Niemeyera sessilifolia
Nierembergia linariaefolia	Nierembergia linariifolia
Nitraria billardieri	Nitraria billardierei
Northea hornei	Northia hornei
Nothofagus alessandri	Nothofagus alessandrii
Nothofagus carii	Nothofagus carri
Nothofagus cunninghami	Nothofagus cunninghamii
Nothofagus menzeisii	Nothofagus menziesii
Nuphar polysepalum	Nuphar polysepala
Nuphar variegatum	Nuphar variegata
Ochrocarpus parvifolius	Ochrocarpos parvifolius
Ocotea esmereldana	Ocotea esmeraldana
Ocotea sintensii	Ocotea sintenisii
Ocotea sphathulata	Ocotea spathulata
Octodium aegyptiacum	Ochthodium aegyptiacum
Octomeles sumatrana	Octomelis sumatranus
Odontites glutinosa	Odontites glutinosus
Odontites rubra	Odontites ruber
Odontites serotina	Odontites serotinus
Odontites viscosa	Odontites viscosus
Odyendea gabonensis	Odyendea gabunensis
Oenothera blennis	Oenothera biennis
Oenothera clavaeformis	Oenothera claviformis
Oenothera rhombipetula	Oenothera rhombipetala
Oenothera serrulatus	Oenothera serrulata
Olax subscorpioidea	Olax subscorpioides
Olearia agrophylla	Olearia argophylla
Olearia avicenniaefolia	Olearia avicenniifolia
Olearia avincenniifolia	Olearia avicenniifolia
Olearia numularifolia	Olearia nummulariifolia
Olearia pimelioides	Olearia pimeleoides
Omalanthus populifolius	Homalanthus populifolius
Onobrychis viciaefolia	Onobrychis viciifolia
Onobrychis viciaefolis	Onobrychis viciifolia
Ononis broterana	Ononis broteriana
Onopordum cyanarocephalum	Onopordum cynarocephalum
Onosma arenarium	Onosma arenaria
Onosma cingulatum	Onosma cingulata
Onosma sericeum	Onosma sericea
Onosma stellulatum	Onosma stellulata
Ophiopodon japonicum	Ophiopogon japonicus
Ophrys holosericea	Ophrys holoserica
Ophrys sphecodes	Ophrys sphegodes
Opopanax hispidum	Opopanax hispidus
Oreopanax capitatum	Oreopanax capitatus
Oreopanax fulvum	Oreopanax fulvus
Oreopanax peltatum	Oreopanax peltatus
Oreopanax xalapense	Oreopanax xalapensis
Orlaya glandiflora	Orlaya grandiflora
Ornithogalum longibracteatum	Ornithogalum longebracteatum
Ornithogalum stapfii	Ornithogalum stapffii
Orobanche caryophyllaceae	Orobanche caryophyllacea
Orostachys fimbriatus	Orostachys fimbriata
Orostachys malacophyllus	Orostachys malacophylla
Oryzhopsis hymenoides	Oryzopsis hymenoides
Oryzopsis miliaceum	Oryzopsis miliacea
Oryzospis asperifolia	Oryzopsis asperifolia
Oryzospis pungens	Oryzopsis pungens
Osmorhiza claytoni	Osmorhiza claytonii
Osteophloem platyspermum	Osteophloeum platyspermum
Osteospermum karrooicum	Osteospermum karooicum
Ostericum grosseserratum	Ostericum grossiserratum
Ostryopsis daviadiana	Ostryopsis davidiana
Othonna spinosa	Othonna spinescens
Otoptera burchelli	Otoptera burchellii
Ouratea littoralis	Ouratea litoralis
Oxalis chapmaniae	Oxalis chapmanae
Oxalis corniculatus	Oxalis corniculata
Oxypetalum caerulea	Oxypetalum coeruleum
Ozothamnus diosmaefolius	Ozothamnus diosmifolius
Pachylophus caespitosus	Pachylophus caespitosa
Pachyrrhizus erosus	Pachyrhizus erosus
Paeonia broteroi	Paeonia broteri
Palaquium indet	Palaquium inutile
Palaquium jutta	Palaquium gutta
Paliurus hemsleyana	Paliurus hemsleyanus
Panax quinquefolium	Panax quinquefolius
Pandanus thurstoni	Pandanus thurstonii
Paractaenum nova-hollandiae	Paractaenum novae-hollandiae
Parahebe lyalli	Parahebe lyallii
Parahebe olsennii	Parahebe olsenii
Parahebe planopetiolata	Parahebe plano-petiolata
Parinari campestre	Parinari campestris
Parinari indet	Parinari indica
Parkinsonia floridum	Parkinsonia florida
Parkinsonia microphyllum	Parkinsonia microphylla
Parkinsonia texanum	Parkinsonia texana
Parnassia brevistyle	Parnassia brevistyla
Parnassia laxmanii	Parnassia laxmannii
Parsonsia heterophyllus	Parsonsia heterophylla
Parsonsia straminae	Parsonsia straminea
Pasania edulis	Paeonia edulis
Paspalidium dilatatum	Paspalum dilatatum
Paspalidium scrobiculatum	Paspalum scrobiculatum
Paspalum conjugacum	Paspalum conjugatum
Pastinaca silvestris	Pastinaca sylvestris
Patrinia scabiosaefolia	Patrinia scabiosifolia
Paullinia granatentis	Paullinia granatensis
Paullinia odorata	Paullinia obovata
Pausandra flagellorachis	Pausandra flagellorhachis
Pavonia castanaefolia	Pavonia castaneifolia
Paxistima canbyi	Pachistima canbyi
Paypayrola grandijlora	Paypayrola grandiflora
Pedicularis asplenifolius	Pedicularis aspleniifolia
Pedicularis langsdorfii	Pedicularis langsdorffii
Pedicularis pseudo-ingens	Pedicularis pseudoingens
Pedicularis rostrato-capitata	Pedicularis rostratocapitata
Pedicularis sceptrumcarolinum	Pedicularis sceptrum-carolinum
Pelargonium eckloni	Pelargonium ecklonii
Pennisetum foermerianum	Pennisetum foermeranum
Penstemon hartwegi	Penstemon hartwegii
Penstemon havardi	Penstemon havardii
Pentacalia lanceolofolia	Pentacalia lanceolifolia
Pentaceras australe	Pentaceras australis
Pentaclethra eetveldiana	Pentaclethra eetveldeana
Pentagonia donnellsmithii	Pentagonia donnell-smithii
Pentapanax warmingiana	Pentapanax warmingianus
Pentaphylax arborca	Pentaphylax arborea
Pentasacme caudatum	Pentasachme caudatum
Pentstemon hirsutus	Penstemon hirsutus
Perichlaena richardi	Perichlaena richardii
Perideridia kellogii	Perideridia kelloggii
Perityle stansburii	Perityle stansburyi
Pernettya furiens	Pernettya furens
Persicaria filiforme	Persicaria filiformis
Pervillaea phillipsonii	Pervillea phillipsonii
Pervillaeam phillipsonii	Pervillea phillipsonii
Petalidium luteo-album	Petalidium luteoalbum
Petalostemum purpureum	Petalostemon purpureus
Petalostemum villosum	Petalostemon villosus
Petita oleina	Petitia oleina
Petrophila biloba	Petrophile biloba
Petrophile medina	Petrophile media
Phacelia davidsoni	Phacelia davidsonii
Phacelia malvaefolia	Phacelia malvifolia
Phalaris lemmoni	Phalaris lemmonii
Pharnaceum aurantiacum	Pharnaceum aurantium
Phellopteris littoralis	Phellopterus littoralis
Philenoptera laxiflorus	Philenoptera laxiflora
Philippiamra amaranthoides	Philippiamra amarantodes
Philodendron chanchamayense	Philodendron chinchamayense
Philotheca salsifolia	Philotheca salsolifolia
Pholiota squarrosa	Phyllota squarrosa
Phylica greyii	Phylica greyi
Phyllis nobia	Phyllis nobla
Phyllocladus glaucus	Phyllocladus glauca
Phyllodoce coenulea	Phyllodoce caerulea
Phyllostchys nuda	Phyllostachys nuda
Phyllota phyllicoides	Phyllota phylicoides
Phyryma leptostachya	Phryma leptostachya
Picea engelmanii	Picea engelmannii
Picea koyamae	Picea koyamai
Picramnia affmacrostachys	Picramnia macrostachys
Picris burbidgei	Picris burbidgeae
Pictetia aculenta	Pictetia aculeata
Pimelea neo-anglica	Pimelea neoanglica
Pimelea sericeovillosa	Pimelea sericeo-villosa
Pinus hartweggi	Pinus hartwegii
Pinus tabulaeformis	Pinus tabuliformis
Piper americanum	Piper mexicanum
Piper carilloanum	Piper carrilloanum
Piper hieronyma	Piper hieronymi
Piper pseudo-fuligineum	Piper pseudofuligineum
Piper pseudo-garagaranum	Piper pseudogaragaranum
Piscidia carthagenesis	Piscidia carthagenensis
Pisonia ubcordata	Pisonia subcordata
Pithecellobium carobobense	Pithecellobium caraboboense
Pithecellobium ligustricum	Pithecellobium ligustrinum
Pithecellobium muellerana	Pithecellobium muellerianum
Pithectenium cynanchoides	Pithecoctenium cynanchoides
Pittosporum formosana	Pittosporum formosanum
Pittosporum heckeli	Pittosporum heckelii
Pittosporum monticolum	Pittosporum monticola
Pittosporum simsoni	Pittosporum simsonii
Plagiobothrys plurisepaleus	Plagiobothrys plurisepalus
Plantago argyraea	Plantago argyrea
Plantago drummondi	Plantago drummondii
Plantago lanceloata	Plantago lanceolata
Platycodon grandiflorum	Platycodon grandiflorus
Platycoryne buchaniana	Platycoryne buchananiana
Plecostachys serphyllifolia	Plecostachys serpyllifolia
Plectocarpa tetracantha	Plectrocarpa tetracantha
Plectranthus eckloni	Plectranthus ecklonii
Plectranthus otostegiodes	Plectranthus otostegioides
Pleiocarpidia sandakanica	Pleiocarpidia sandahanica
Pleiostachya pruinoisa	Pleiostachya pruinosa
Pleurocalyptus austro-caledonicus	Pleurocalyptus austrocaledonicus
Plumbagela micrantha	Plumbagella micrantha
Poa chaixi	Poa chaixii
Poa fawcettae	Poa fawcettiae
Podistera eastwoodae	Podistera eastwoodiae
Podocarpus decipiens	Podocarpus neriifolius
Podocarpus elongata	Podocarpus elongatus
Podocarpus falcata	Podocarpus falcatus
Podocarpus hypophylla	Phyllocladus hypophyllus
Podocarpus latifolia	Podocarpus latifolius
Podocarpus macrophylla	Podocarpus macrophyllus
Podocarpus neriifolia	Podocarpus neriifolius
Podocarpus nubigena	Podocarpus nubigenus
Podocarpus polystachya	Podocarpus polystachyus
Podocarpus saligna	Podocarpus salignus
Podocarpus spicata	Prumnopitys taxifolia
Pogonolepis mullerana	Pogonolepis muelleriana
Polyalthia pendulosa	Polyalthia pendula
Polygala persicariaefolia	Polygala persicariifolia
Polygonatum officinalis	Polygonatum officinale
Polyscias multijugji	Polyscias multijuga
Polytrichum formosum	Polystichum formosum
Poncirus trifoliatus	Poncirus trifoliata
Populus angustifolium	Populus angustifolia
Populus baksamifera	Populus balsamifera
Populus sieboldi	Populus sieboldii
Potentilla brauneana	Potentilla brauniana
Potentilla chrysatha	Potentilla chrysantha
Potentilla fregniana	Potentilla freyniana
Potentilla frieseana	Potentilla friesiana
Potentilla marsumurae	Potentilla matsumurae
Potentilla salesovianum	Potentilla salesoviana
Potentilla tauacetifolia	Potentilla tanacetifolia
Pourouma cecropiaefolia	Pourouma cecropiifolia
Pourouma tormentosa	Pourouma tomentosa
Pouteria anibaefolia	Pouteria anibifolia
Pouteria fissilis	Pouteria sessilis
Pouteria indet	Pouteria intermedia
Pouteria poulmaniana	Pouteria pohlmaniana
Pouteria surumensis	Pouteria surumuensis
Pratia purpurescens	Lobelia purpurascens
Prestoea regia	Prestoea megalochlamys
Prestonia ipomiifolia	Prestonia ipomaeifolia
Prestonia plumerifolia	Prestonia plumierifolia
Prinostemma delagoensis	Prionostemma delagoensis
Protea mundii	Protea mundi
Protium gigantium	Protium giganteum
Protium kleini	Protium kleinii
Protium llewelynii	Protium llewelyni
Protium spuceanum	Protium spruceanum
Protium tenulfolium	Protium tenuifolium
Protomegabaria tapfiana	Protomegabaria stapfiana
Proustia piryfolia	Proustia pyrifolia
Prunus brachybotria	Prunus brachybotrya
Prunus griseum	Prunus grisea
Prunus pennsylvanica	Prunus pensylvanica
Prunus petunnikowi	Prunus petunnikowii
Prunus pilosiusscula	Cerasus clarofolia
Prunus pseudo-cerasus	Prunus pseudocerasus
Prunus tavanica	Prunus javanica
Pseudopanax arboreum	Pseudopanax arboreus
Pseudopanax collensoi	Pseudopanax colensoi
Pseudopanax crassifolium	Pseudopanax crassifolius
Psidium catlteyanum	Psidium cattleyanum
Psuedotsuga menziesii	Pseudotsuga menziesii
Psychotria guadeloupensis	Psychotria guadalupensis
Psychotria ulignosa	Psychotria uliginosa
Psydrax horizontale	Psydrax horizontalis
Pteris actinopteroides	Pteris actiniopteroides
Pterocarpus indet	Pterocarpus indicus
Pteroceltis tartarinowii	Pteroceltis tatarinowii
Pterodiscus nyamicus	Pterodiscus ngamicus
Pterospermum acerifolia	Pterospermum acerifolium
Pterospermum grewiaefolium	Pterospermum grewiifolium
Pterospermum lanceaefolium	Pterospermum lanceifolium
Pterospermum monglunensis	Pterospermum menglunense
Pterostyrax hispida	Pterostyrax hispidus
Ptilanthelium deusteum	Ptilanthelium deustum
Ptilotus leucocoma	Ptilotus leucocomus
Pulicaria uliginosum	Pulicaria uliginosa
Pultenaea rosmarinifoli	Pultenaea rosmarinifolia
Pultenaea scarbra	Pultenaea scabra
Pultenaea tenuofolia	Pultenaea tenuifolia
Pultenea daphnoides	Pultenaea daphnoides
Pultenea flexilis	Pultenaea flexilis
Purshia stansburiana	Purshia stansburyana
Pycnandra benthami	Pycnandra benthamii
Pycnanthemum torrei	Pycnanthemum torreyi
Pycnanthus angolense	Pycnanthus angolensis
Pyracantha atalandioidea	Pyracantha atalantioides
Pyracantha crenato-serrata	Pyracantha crenatoserrata
Pyrenacantha malvaefolia	Pyrenacantha malvifolia
Pyrus betulaefolia	Pyrus betulifolia
Qualea implexa	Qualea impexa
Quamoclit pinnata	Quamoclit pennata
Quararibea asterolepsis	Quararibea asterolepis
Quercus bambusaefolia	Quercus bambusifolia
Quercus championi	Quercus championii
Quercus engelmanni	Quercus engelmannii
Quercus keloggii	Quercus kelloggii
Quercus margaretta	Quercus margarettiae
Ranalisma rostratum	Ranalisma rostrata
Ranunculus alismaefolius	Ranunculus alismifolius
Ranunculus amphitrichus	Ranunculus amphitricha
Ranunculus hederacea	Ranunculus hederaceus
Ranunculus krasnovii	Ranunculus krassnovii
Ranunculus paucistamineum	Ranunculus paucistamineus
Ranunculus pulchelus	Ranunculus pulchellus
Ranunculus scapiger	Ranunculus scapigerus
Ranunculus ternatifolius	Ranunculus tenuifolius
Raphiostylis ferruginea	Rhaphiostylis ferruginea
Ravenia urbanii	Ravenia urbani
Readea membranaceae	Readea membranacea
Reaumuria soongorica	Reaumuria soongarica
Rehderodendron tsiangi	Rehderodendron tsiangii
Renealmia alpina	Renealmia alpinia
Reseda amblycarpa	Reseda amblyocarpa
Rhamnus argutus	Rhamnus arguta
Rhamnus catharticus	Rhamnus cathartica
Rhamnus lyciodes	Rhamnus lycioides
Rhamnus persicifolius	Rhamnus persicifolia
Rhamnus sphaerospermus	Rhamnus sphaerosperma
Rhapthithamnus spinosus	Rhaphithamnus spinosus
Rhedera trinervis	Rehdera trinervis
Rhodiola heterodonata	Rhodiola heterodonta
Rhododendron anthoogonoides	Rhododendron anthopogonoides
Rhododendron dalhousiae	Rhododendron dalhousieae
Rhododendron macgregori	Rhododendron macgregoriae
Rhododendron metterniachii	Rhododendron metternichii
Rhododendron pericylmenoides	Rhododendron periclymenoides
Rhodognaphalopsis discolour	Rhodognaphalopsis discolor
Rhus ambiqua	Rhus ambigua
Rhus chirendensis	Rhus chirindensis
Rhynchosinapsis cheiranthos	Rhynchosinapis cheiranthos
Rhysotoechia robertsoni	Rhysotoechia robertsonii
Ribes reclinata	Ribes reclinatum
Ribes uva-crispaf	Ribes uva-crispa
Ribes uvacrispa	Ribes uva-crispa
Rinorea ardisiaeflora	Rinorea ardisiiflora
Ripogonum discolor	Rhipogonum discolor
Robinia psuedo	Robinia pseudoacacia
Roepera billardieri	Roepera billardierei
Roepera schreiberana	Roepera schreiberiana
Rollinia jiminez	Rollinia jimenezii
Rondeletia buddleioides	Rondeletia buddlejoides
Rorippa austriacum	Rorippa austriaca
Rorippa microphyllum	Rorippa microphylla
Rorippa officinale	Rorippa officinalis
Rosa ciesielski	Rosa ciesielskii
Rosa spinisissima	Rosa spinosissima
Rosa subcollinia	Rosa subcollina
Rosa woronowi	Rosa woronowii
Rothmannia englerana	Rothmannia engleriana
Roupula meisneri	Roupala meisneri
Rubus multibracteaus	Rubus multibracteatus
Rubus polyantheseus	Rubus polyanthemus
Rubus urticaefolius	Rubus urticifolius
Rudgea villiiflora	Rudgea villiflora
Ruellia bignoniaeflora	Ruellia bignoniiflora
Rumex obtusififolius	Rumex obtusifolius
Ruschia karooica	Ruschia karrooica
Ruyschia enerva	Ruyschia enervia
Ryparosa hulletii	Ryparosa hullettii
Rytidosperma clavata	Rytidosperma clavatum
Sabal adansoni	Sabal adansonii
Saccharum brevibarbis	Saccharum brevibarbe
Saccharum contortus	Saccharum contortum
Saccharum giganteus	Saccharum giganteum
Saccharum maximus	Saccharum maximum
Saccharum strictus	Saccharum strictum
Salacia baillonianum	Salacia bailloniana
Salacia pronyense	Salacia pronyensis
Salacia standtiana	Salacia staudtiana
Salicornia europea	Salicornia europaea
Salicornia ramoisissima	Salicornia ramosissima
Salix lascandia	Salix lasiandra
Salix sakhalinensis	Salix sachalinensis
Salix serpyillifolia	Salix serpyllifolia
Salsola micranthera	Salsola micrarithera
Salsola opositifolia	Salsola oppositifolia
Salvertia convallariodora	Salvertia convallariaeodora
Salvia aethiopica	Salvia aethiopis
Salvia brandegei	Salvia brandegeei
Salvia clevelandi	Salvia clevelandii
Salvia gesneriaefolia	Salvia gesneriifolia
Salvia lavandulaefolia	Salvia lavandulifolia
Salvia rosaefolia	Salvia rosifolia
Salvia vvedenskyi	Salvia vvedenskii
Sambucus peruvianus	Sambucus peruviana
Sanseviera trifasciata	Sansevieria trifasciata
Sapindus mykorossi	Sapindus mukorossi
Sarcoccoca ruscifolia	Sarcococca ruscifolia
Sarcostemma clausa	Sarcostemma clausum
Sarcostemma cyanchoides	Sarcostemma cynanchoides
Sarracenia psittacena	Sarracenia psittacina
Satureja intincata	Satureja intricata
Saurauia veraguasensis	Saurauia montana
Saxifraga burserana	Saxifraga burseriana
Saxifraga hieracifolia	Saxifraga hieraciifolia
Saxifraga vandelli	Saxifraga vandellii
Scabiosa rutifolium	Scabiosa rutifolia
Scandia rosaefolia	Scandia rosifolia
Scandix pectenveneris	Scandix pecten-veneris
Scaveola canescens	Scaevola canescens
Scaveola phlebopetala	Scaevola phlebopetala
Schefflera candelabra	Schefflera candelabrum
Schefflera inophylla	Schefflera monophylla
Schefflera morototonii	Schefflera morototoni
Schefflera pleurandroides	Schefflera plerandroides
Schefflera pseudo-candelabrum	Schefflera pseudocandelabrum
Schefflera pseudocandelabra	Schefflera pseudocandelabrum
Schefflera vieillardi	Schefflera vieillardii
Schefflera vinosum	Schefflera vinosa
Schima superb	Schima superba
Schima wallicii	Schima wallichii
Schizachyrium scoparius	Schizachyrium scoparium
Schizolobium parahybum	Schizolobium parahyba
Schizolobium robustum	Schizoglossum robustum
Scleroleana drummondii	Sclerolaena drummondii
Scleroleana gardneri	Sclerolaena gardneri
Scleroleana obliquicuspis	Sclerolaena obliquicuspis
Scleroleana paradoxa	Sclerolaena paradoxa
Sclerolobium guianensis	Sclerolobium guianense
Sclerolobium hypoleuca	Sclerolobium hypoleucum
Scolopia rhamniphylla	Scolopia rhaniphylla
Scopelogena veruculata	Scopelogena verruculata
Scorodocarpus bronensis	Scorodocarpus borneensis
Scutellaria leonardi	Scutellaria leonardii
Scutellaria xchurchilliana	Scutellaria churchilliana
Searsia burchelii	Searsia burchellii
Secale cerale	Secale cereale
Sedum forsteranum	Sedum forsterianum
Sedum stellarifolium	Sedum stellariifolium
Sedum xerythrostictum	Sedum erythrostictum
Seguiera parvifolia	Seguieria parvifolia
Selaginella molliceps	Selaginella mollis
Selago thomsonnii	Selago thomsonii
Selinum broteri	Selinum broteroi
Semecarpus bunburyanus	Semecarpus bunburyana
Sempervivum globifera	Sempervivum globiferum
Senecio erucaeformis	Senecio eruciformis
Senecio gaudinii	Senecio galpinii
Senecio hakeaefolium	Senecio hakeaefolius
Senecio pseudo-arnica	Senecio pseudoarnica
Senecio thianshanicus	Senecio thianschanicus
Senecio werneriaefolius	Senecio werneriifolius
Senna form	Senna formosa
Senna lindheimerana	Senna lindheimeriana
Senna quiquangulata	Senna quinquangulata
Senna stipulaceae	Senna stipulacea
Senna surrattensi	Senna surattensis
Seriphidium arbusculum	Seriphidium arbuscula
Serissa fetida	Serissa foetida
Seseli hippomaranthum	Seseli hippomarathrum
Sesili elatum	Seseli elatum
Sesuvium microphylium	Sesuvium microphyllum
Setaria faberii	Setaria faberi
Shorea agamii	Shorea agami
Sida neo-mexicana	Sida neomexicana
Sida szechecensis	Sida szechuensis
Sidalcea malvaeflora	Sidalcea malviflora
Sidalcea neo-mexicana	Sidalcea neomexicana
Sideroxylon callophylloides	Sideroxylon calophylloides
Sideroxylon celastrina	Sideroxylon celastrinum
Sideroxylon cubensis	Sideroxylon cubense
Sideroxylon lanuginosa	Sideroxylon lanuginosum
Sideroxylon mayombense	Sideroxylon mayumbense
Sideroxylon obtusifolia	Sideroxylon obtusifolium
Sideroxylon salicifolia	Sideroxylon salicifolium
Silene floscuculi	Silene flos-cuculi
Silene flosjovis	Silene flos-jovis
Silene frivaldszkyana	Silene friwaldskyana
Silene friwaldszkyana	Silene friwaldskyana
Silene involucratum	Silene involucrata
Silene mollisima	Silene mollissima
Silene primulaeflora	Silene primuliflora
Silene schaffa	Silene schafta
Simsia lagascaeformis	Simsia lagasceiformis
Sinapsis arvensis	Sinapis arvensis
Sindoropsis le-testui	Sindoropsis letestui
Siphoneugenia densiflora	Siphoneugena densiflora
Siringa vulgaris	Syringa vulgaris
Sisymbrium loeselli	Sisymbrium loeselii
Sloanea affobtusifolia	Sloanea obtusifolia
Sloanea berteriana	Sloanea berteroana
Sloanea garkeana	Sloanea garckeana
Sloanea zulianesis	Sloanea zuliaensis
Smallanthus uvedalius	Smallanthus uvedalia
Smilax dominguensis	Smilax domingensis
