"","taxa","rank","trait","size","age","aic.w.bm","aic.w.ou","aic.w.eb","model.used","mv.modelad","reml.sigsq","var.con","slope.con.var","slope.con.asr","slope.con.nh","ks.dstat"
"13","Grossulariaceae","family","seedMass",23,45.387853,"0.52785992840844","0.277951916454063","0.194188155137496","BM","8.86016274238411","0.003996003996004","0.01998001998002","0.665334665334665","0.597402597402597","0.787212787212787","0.045954045954046"
"14","Saxifragaceae","family","seedMass",49,75.253323,"0.00196850592473172","0.997307328403776","0.000724165671492399","OU","7.83572150480527","0.01998001998002","0.0619380619380619","0.365634365634366","0.187812187812188","0.417582417582418","0.761238761238761"
"15","Onagraceae","family","seedMass",70,62.524008,"1.08405325244898e-06","0.999998517151418","3.98795329446842e-07","OU","36.8235457295097","0.171828171828172","0.425574425574426","0.293706293706294","0.001998001998002","0.745254745254745","0.047952047952048"
"16","Melastomataceae","family","seedMass",35,59.843329,"0.308113285221712","0.578539011539686","0.113347703238601","OU","9.1845048396193","0.301698301698302","0.813186813186813","0.297702297702298","0.665334665334665","0.923076923076923","0.603396603396603"
"17","Cleomaceae","family","seedMass",22,65.299793,"0.460139665453763","0.370585150936552","0.169275183609685","BM","4.10492611810411","0.0799200799200799","0.541458541458541","0.535464535464535","0.43956043956044","0.915084915084915","0.925074925074925"
"18","Brassicaceae","family","seedMass",230,60.746364,"3.29224141955867e-17","1","1.21113123332272e-17","OU","34.0419376702729","0.001998001998002","0.527472527472527","0.00799200799200799","0.017982017982018","0.505494505494505","0.407592407592408"
"19","Thymelaeaceae","family","seedMass",23,58.691934,"0.408900509584789","0.440673943781439","0.150425546633772","OU","7.23033558372677","0.485514485514486","0.701298701298701","0.103896103896104","0.0879120879120879","0.165834165834166","0.257742257742258"
"20","Cistaceae","family","seedMass",21,36.874084,"0.0739958709182886","0.898782723403427","0.0272214056782847","OU","12.1841397162542","0.285714285714286","0.867132867132867","0.157842157842158","0.01998001998002","0.241758241758242","0.40959040959041"
"21","Malvaceae","family","seedMass",173,69.119388,"0.508734822661365","0.304113099121366","0.187152078217269","BM","27.4628376745352","0","0.041958041958042","0.163836163836164","0.00599400599400599","0.207792207792208","0.323676323676324"
"22","Anacardiaceae","family","seedMass",55,59.095478,"0.271202608386263","0.629028117352652","0.0997692742610842","OU","4.12687731306178","0.133866133866134","0.465534465534466","0.425574425574426","0.553446553446553","0.467532467532468","0.853146853146853"
"23","Sapindaceae","family","seedMass",143,66.250219,"0.528270498817042","0.277390507961393","0.194338993221564","BM","30.6037731844671","0","0.001998001998002","0.161838161838162","0.0999000999000999","0.101898101898102","0.001998001998002"
"24","Meliaceae","family","seedMass",44,52.761157,"0.0194547292068762","0.973388340266986","0.00715693052613812","OU","3.90807207935193","0.447552447552448","0.803196803196803","0.633366633366633","0.495504495504495","0.147852147852148","0.629370629370629"
"25","Rutaceae","family","seedMass",87,45.473184,"0.379100266973032","0.481437094942392","0.139462638084577","OU","22.6170594528649","0.00799200799200799","0.595404595404595","0.619380619380619","0.14985014985015","0.031968031968032","0.387612387612388"
"26","Zygophyllaceae","family","seedMass",30,72.82366,"0.457364636839971","0.374381133392285","0.168254229767744","BM","3.84847200135012","0.0979020979020979","0.245754245754246","0.35964035964036","0.375624375624376","0.567432567432567","0.613386613386613"
"27","Celastraceae","family","seedMass",53,67.743586,"0.512389318497465","0.299114281319992","0.188496400182543","BM","8.98091617380121","0.0879120879120879","0.677322677322677","0.725274725274725","0.1998001998002","0.683316683316683","0.507492507492508"
"28","Clusiaceae","family","seedMass",52,68.746752,"0.0633850350345697","0.0233169514032166","0.913298013562214","EB","9.59008978444072","0.043956043956044","0.387612387612388","0.193806193806194","0.155844155844156","0.125874125874126","0.453546453546454"
"29","Salicaceae","family","seedMass",51,78.474374,"0.543429267905939","0.256655071071877","0.199915661022183","BM","6.76214032676449","0.13986013986014","0.879120879120879","0.987012987012987","0.623376623376623","0.605394605394605","0.639360639360639"
"30","Fagaceae","family","seedMass",70,40.409995,"0.0115406643188366","0.984213781806466","0.00424555387469681","OU","12.5759309681591","0","0.00599400599400599","0.227772227772228","0.363636363636364","0.829170829170829","0.955044955044955"
"31","Betulaceae","family","seedMass",50,27.279624,"0.569485833921722","0.209501820490136","0.221012345588143","BM","15.1685446188426","0.031968031968032","0.923076923076923","0.345654345654346","0.585414585414585","0.263736263736264","0.519480519480519"
"32","Rhamnaceae","family","seedMass",80,76.179949,"0.337298457511043","0.538617655651699","0.124083886837259","OU","28.56466533298","0.003996003996004","0.351648351648352","0.925074925074925","0.021978021978022","0.0799200799200799","0"
"33","Moraceae","family","seedMass",72,54.796729,"0.379335467552048","0.481116091073259","0.139548441374693","OU","20.6007997815541","0.11988011988012","0.461538461538462","0.945054945054945","0.263736263736264","0.237762237762238","0.047952047952048"
"34","Rosaceae","family","seedMass",301,82.294052,"2.08379837088197e-07","0.99999971496565","7.66545125878507e-08","OU","62.8957814163985","0","0.0599400599400599","0.00599400599400599","0.001998001998002","0.627372627372627","0.133866133866134"
"35","Fabaceae","family","seedMass",1284,69.142536,"1.95557048205767e-23","1","7.19321580451677e-24","OU","319.248358958489","0","0","0","0","0.047952047952048","0"
"36","Polygonaceae","family","seedMass",81,54.014408,"0.563670747058865","0.2289667061044","0.207362546836735","BM","10.4426541820222","0","0.013986013986014","0.487512487512487","0.599400599400599","0.213786213786214","0.515484515484515"
"37","Aizoaceae","family","seedMass",72,42.783637,"1.84088929534822e-11","0.999999999974819","6.77213373422897e-12","OU","14.2810842213702","0.625374625374625","0.235764235764236","0.241758241758242","0.787212787212787","0.593406593406593","0.555444555444555"
"38","Caryophyllaceae","family","seedMass",131,50.604915,"1.04635935788892e-05","0.999985687113593","3.8492928280948e-06","OU","17.1205834291008","0","0.017982017982018","0.587412587412587","0.649350649350649","0.17982017982018","0.333666333666334"
"39","Amaranthaceae","family","seedMass",170,38.449259,"2.45787535368044e-17","1","9.04184154018709e-18","OU","33.1845736735922","0.013986013986014","0.701298701298701","0.001998001998002","0.513486513486514","0.377622377622378","0.015984015984016"
"40","Cornaceae","family","seedMass",21,65.418614,"0.458003004731152","0.1684890802045","0.373507915064348","BM","10.7224545746472","0.037962037962038","0.245754245754246","0.577422577422577","0.105894105894106","0.045954045954046","0.705294705294705"
"41","Loasaceae","family","seedMass",27,64.963493,"0.515922557586632","0.294280696229408","0.18979674618396","BM","6.97345628774115","0.227772227772228","0.30969030969031","0.699300699300699","0.213786213786214","0.491508491508492","0.045954045954046"
"42","Primulaceae","family","seedMass",73,54.03985,"0.00925332966901765","0.0034040238379204","0.987342646493062","EB","31.8220035482337","0","0.227772227772228","0.445554445554446","0.003996003996004","0.811188811188811","0.041958041958042"
"43","Aquifoliaceae","family","seedMass",22,65.833042,"0.00713318433162348","0.990242679546749","0.00262413612162715","OU","2.64733725556913","0.211788211788212","0.301698301698302","0.561438561438561","0.521478521478521","0.787212787212787","0.491508491508492"
"44","Adoxaceae","family","seedMass",29,75.38513,"0.521195377094215","0.28706830168673","0.191736321219055","BM","7.45532913458125","0.01998001998002","0.207792207792208","0.223776223776224","0.255744255744256","0.767232767232767","0.46953046953047"
"45","Caprifoliaceae","family","seedMass",66,65.603129,"0.000497788799794218","0.999319087833278","0.000183123366927569","OU","23.7242468970718","0.0639360639360639","0.823176823176823","0.003996003996004","0.607392607392607","0.613386613386613","0.157842157842158"
"46","Araliaceae","family","seedMass",46,65.500479,"0.552604398545076","0.244104386842098","0.203291214612826","BM","7.86279432749839","0.035964035964036","0.113886113886114","0.757242757242757","0.113886113886114","0.463536463536464","0.341658341658342"
"47","Pittosporaceae","family","seedMass",21,56.777854,"0.501889086190604","0.18463359320486","0.313477320604536","BM","20.6015349954055","0.035964035964036","0.18981018981019","0.153846153846154","0.921078921078921","0.0739260739260739","0"
"48","Apiaceae","family","seedMass",210,71.44811,"0.000118413133653691","0.999838025941583","4.35609247634607e-05","OU","34.976255388659","0","0","0.221778221778222","0.519480519480519","0.0719280719280719","0.03996003996004"
"49","Boraginaceae","family","seedMass",150,55.795213,"0.251163209442507","0.656440334475327","0.0923964560821663","OU","16.709615787742","0","0.013986013986014","0.519480519480519","0.803196803196803","0.345654345654346","0.671328671328671"
"50","Apocynaceae","family","seedMass",107,37.608252,"9.59951067198536e-05","0.999868690648986","3.53142442939423e-05","OU","19.7230582621299","0.00799200799200799","0.163836163836164","0.567432567432567","0.853146853146853","0.13986013986014","0.383616383616384"
"51","Solanaceae","family","seedMass",178,47.02765,"5.3920227471912e-08","0.999999926243929","1.98358431421693e-08","OU","54.3201422039226","0","0.163836163836164","0.0839160839160839","0.013986013986014","0.671328671328671","0.00599400599400599"
"52","Acanthaceae","family","seedMass",26,36.720997,"0.377563793210529","0.138897039817048","0.483539166972423","EB","4.62737071588047","0.261738261738262","0.201798201798202","0.23976023976024","0.405594405594406","0.23976023976024","0.263736263736264"
"53","Phrymaceae","family","seedMass",24,27.406262,"0.180304211537019","0.753365756883097","0.0663300315798838","OU","6.8218688037488","0.0879120879120879","0.297702297702298","0.0919080919080919","0.643356643356643","0.963036963036963","0.351648351648352"
"54","Verbenaceae","family","seedMass",27,28.391034,"0.185914755331355","0.745691285605285","0.0683939590633605","OU","10.3000846457713","0.433566433566434","0.683316683316683","0.12987012987013","0.183816183816184","0.843156843156843","0.533466533466533"
"55","Bignoniaceae","family","seedMass",37,24.82755,"0.00138060488703339","0.998111500782526","0.000507894330440687","OU","10.681034639275","0.323676323676324","0.639360639360639","0.845154845154845","0.517482517482518","0.805194805194805","0.035964035964036"
"56","Scrophulariaceae","family","seedMass",60,37.457896,"0.551174638461454","0.202765146415486","0.24606021512306","BM","19.9680952765732","0.0819180819180819","0.849150849150849","0.02997002997003","0.013986013986014","0.047952047952048","0.393606393606394"
