"taxa","rank","trait","size","age","dic.bm","dic.ou","dic.eb","dicw.bm","dicw.ou","dicw.eb","m.sig.bayes.bm","c.var.bayes.bm","s.var.bayes.bm","s.asr.bayes.bm","s.hgt.bayes.bm","d.cdf.bayes.bm","mv.bayes.bm","mean.diag.bm","m.sig.bayes.ou","c.var.bayes.ou","s.var.bayes.ou","s.asr.bayes.ou","s.hgt.bayes.ou","d.cdf.bayes.ou","mv.bayes.ou","mean.diag.ou","m.sig.bayes.eb","c.var.bayes.eb","s.var.bayes.eb","s.asr.bayes.eb","s.hgt.bayes.eb","d.cdf.bayes.eb","mv.bayes.eb","mean.diag.eb"
"Fabales","order","leaf_n",69,72.048793,-106.889253802741,-72.1525430289469,-107.830264542174,0.384496632117073,0.0000000110131520648993,0.615503356869775,0.914,0.84,0.604,0.504,0.906,0.69,2.46901519754391,457,0.858,0.01,0,0.868,0.54,0.094,35.7927268168458,429,0.744,0.696,0.194,0.782,0.264,0.64,3.34227240208121,628
"Caryophyllales","order","leaf_n",35,89.460934,-24.0427529598424,-32.1277981772828,-26.8146199017559,0.0161372489563589,0.919337046112862,0.0645257049307794,0.37,0.458,0.426,0.234,0.156,0.206,8.88506949033321,815,0.908,0.414,0.908,0.472,0.938,0.478,2.8103440827522,454,0.164,0.572,0.138,0.086,0.064,0.39,28.6790122622806,918
"Asterales","order","leaf_n",55,83.663672,-3.16688928731631,-33.6726219139664,-8.60761913332529,0.000000237554169267566,0.999996154980784,0.0000036074650469258,0.036,0.152,0,0.29,0,0.174,47.0421447750403,982,0.872,0.928,0.04,0.764,0.094,0.144,11.2832757047489,564,0.032,0.154,0,0.194,0,0.188,52.3811375465421,984
"Gentianales","order","leaf_n",34,58.804913,-14.2549396957243,-25.4172679152755,-12.8418977017868,0.00374709063446384,0.99440425369366,0.00184865567187635,0.43,0.166,0.006,0.026,0,0.654,23.0013809518057,785,0.91,0.832,0.476,0.354,0.514,0.118,5.36700741985853,455,0.408,0.16,0.008,0.018,0,0.78,25.388642191193,796
"Salicaceae","family","leaf_n",22,78.474371,-41.792583911894,-41.1511721190016,-36.9836620373747,0.55067571231661,0.399590469167105,0.0497338185162854,0.716,0.502,0.724,0.484,0.774,0.334,4.09281477622504,358,0.806,0.464,0.746,0.45,0.982,0.292,2.92249526675607,403,0.936,0.61,0.182,0.126,0.152,0.812,5.65133354008771,532
"Fagaceae","family","leaf_n",46,40.409993,-38.0050006828956,-52.0206055584613,-39.6855783551224,0.000902087370125063,0.997007743606428,0.00209016902344695,0.2,0.068,0,0.922,0,0.732,16.1636139446447,900,0.642,0.278,0.13,0.786,0.32,0.454,5.77575315000594,679,0.184,0.062,0,1,0,0.644,21.8565312075613,908
"Betulaceae","family","leaf_n",21,27.279622,-45.6888315218256,-44.8419380301802,-47.9354376238258,0.211426308386894,0.138438996241678,0.650134695371428,0.59,0.774,0.498,0.364,0.906,0.494,4.59953990334846,295,0.69,0.414,0.21,0.42,0.762,0.752,3.81304490748053,345,0.4,0.938,0.93,0.14,0.856,0.682,23.5873149377549,200
"Rosaceae","family","leaf_n",49,82.294049,-70.7607780490045,-70.8078950854085,-71.862796297154,0.266039439301179,0.272381343899494,0.461579216799327,0.644,0.014,0.832,0.002,0.826,0.7,27.8576926002301,678,0.95,0.016,0.07,0.006,0.26,0.502,23.3478254250759,475,0.238,0.006,0.274,0.002,0.32,0.516,47.264207581231,881
"Fabaceae","family","leaf_n",67,69.14253,-103.408654582894,-69.3531537020786,-106.208374633475,0.197838322677294,0.00000000796622128100198,0.802161669356485,0.834,0.916,0.662,0.512,0.754,0.402,3.43936990261878,417,0.834,0,0,0.856,0.584,0.138,38.7364772990169,417,0.716,0.73,0.276,0.712,0.402,0.332,4.13021821094804,642
"Asteraceae","family","leaf_n",53,45.743702,-4.68481026677122,-31.0830460111945,-2.23087202767518,0.00000185222994796262,0.999997604733599,0.000000543036452804602,0.03,0.148,0,0.358,0,0.242,44.5886276700458,985,0.842,0.906,0.03,0.678,0.096,0.2,11.204520775733,579,0.03,0.14,0,0.28,0,0.224,48.8618658144418,985
"random","timeslice","seed_mass",11100,234.540719,23401.3980814485,22394.3905091234,23403.4900171099,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000214330537066437,1,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000753053783905005,0,0,0,0.002,0,0,8485.01183540452,1000,0,0,0,0,0,0,6252.89920141852,1000,0,0,0,0.004,0,0,7932.67300148343,1000
"random","timeslice","seed_mass",11062,188.283244,23288.9790828245,22306.6042580855,23291.1086374382,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000478649079006912,1,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000165040419467525,0,0,0,0.002,0,0,7871.81012839761,1000,0,0,0,0,0,0,6529.58509537332,1000,0,0,0,0,0,0,7940.12702500253,1000
"random","timeslice","seed_mass",33,96.478688,62.1236994305325,47.1988213003082,62.5691093767607,0.000573660735539727,0.99896720935581,0.000459129908650185,0.84,0.008,0.028,0.076,0.016,0.838,21.2157238028661,580,0.926,0.074,0.806,0.9,0.96,0.874,4.90671690322981,463,0.83,0.004,0.014,0.038,0.014,0.992,24.3106178357165,585
"random","timeslice","seed_mass",23,140.998137,51.2249672947906,66.6141395606397,50.793316793693,0.446161511622867,0.000203130812123681,0.55363535756501,0.97,0.912,0.5,0.41,0.642,0.156,4.06185301162986,515,0.952,0,0.224,0.804,0.122,0.642,24.5116544189998,524,0.914,0.666,0.224,0.178,0.314,0.248,6.08545938092975,543
"random","timeslice","seed_mass",1786,137.533978,3662.54241620296,3489.64689681238,3664.60647058319,0.000000000000000000000000000000000000028590055039902,1,0.0000000000000000000000000000000000000101861783879627,0,0,0,0,0,0,1816.51741807028,1000,0,0,0,0.018,0,0,1675.0492402593,1000,0,0,0,0,0,0,1969.74580049592,1000
"random","timeslice","seed_mass",33,122.157858,90.2822166790707,85.1417850593093,90.1894041950497,0.0661544357715059,0.864548801822111,0.0692967624063828,0.988,0.27,0.01,0.728,0.036,0.346,10.3287925179687,506,0.896,0.408,0.008,0.902,0.364,0.432,14.2005774794368,448,0.978,0.204,0.016,0.582,0.018,0.518,11.270649800839,489
"random","timeslice","seed_mass",144,137.914322,370.320913855717,366.259655487222,372.668802927373,0.112006872025382,0.853366752419076,0.0346263755555415,0.028,0,0,0,0,0.084,142.484905914436,986,0.884,0,0,0.486,0.036,0.004,149.063319884085,558,0.058,0,0,0,0,0.052,154.889964833928,971
"random","timeslice","seed_mass",9042,136.900468,18966.1554390407,18170.3976521444,18968.2322109558,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000159732066283232,1,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000565492459514971,0,0,0,0,0,0,6389.9156861754,1000,0,0,0,0,0,0,5175.49794215308,1000,0,0,0,0,0,0,5898.94157848056,1000
"random","timeslice","seed_mass",70,80.587887,33.8525427234661,60.9225438648815,30.5965773123498,0.164106862125303,0.000000217245445849517,0.835892920629251,0.888,0.042,0.786,0.224,0.768,0.872,9.50760282567685,444,0.672,0,0.018,0.326,0.206,0.318,67.1977361328712,336,0.7,0.044,0.16,0.058,0.354,0.918,12.0425706914787,650
"random","timeslice","seed_mass",112,54.836678,165.82431775182,162.923066578279,165.578497934807,0.156333911248339,0.666886431115897,0.176779657635764,0.298,0,0,0.004,0,0.54,45.0335600066383,851,0.806,0,0.022,0.366,0.388,0.228,44.1450637008728,597,0.254,0,0,0.002,0,0.474,49.2272930741296,873
"random","timeslice","seed_mass",204,78.292852,232.007352204603,247.469370046519,234.250071353396,0.753991160582058,0.000331002855622254,0.24567783656232,0.378,0.014,0,0.238,0.028,0.192,22.9059287853312,811,0.85,0,0.002,0.312,0.748,0.184,41.7700252177575,575,0.284,0.022,0.002,0.206,0.008,0.17,24.0038682914784,858
"random","timeslice","seed_mass",23,92.173209,54.2638483955982,35.8413325043238,55.4645741815029,0.0000998928293774719,0.999845304714532,0.0000548024560906852,0.976,0,0.03,0,0.022,0.656,54.287216489078,512,0.86,0.084,0.958,0.468,0.408,0.338,6.00803268560521,430,0.908,0,0.008,0,0.01,0.534,75.7934440805566,546
"random","timeslice","seed_mass",21,78.827623,15.6393341063018,38.026297849675,16.5692411915884,0.614183442282115,0.00000845338587816454,0.385808104332007,0.72,0.08,0.938,0.806,0.31,0.004,19.6363857139907,360,0.88,0,0,0.734,0.824,0.008,73.7110843226628,440,0.896,0.054,0.36,0.836,0.38,0.002,16.8221770973436,552
"random","timeslice","seed_mass",31,65.000546,157.195077040693,96.5615165663522,159.620602959862,0.0000000000000681694254905856,0.999999999999912,0.0000000000000202718494723841,0.332,0,0,0,0.012,0.038,584.375918993464,834,0.54,0.014,0.012,0.174,0.01,0.4,29.4512774840668,730,0.338,0,0,0,0.006,0.03,652.981257074581,831
"random","timeslice","seed_mass",1199,90.169528,2064.04590436022,1907.30937380252,2066.10401597833,0.000000000000000000000000000000000092277290295813,1,0.0000000000000000000000000000000000329747547090949,0,0,0,0.006,0,0,705.48786334224,1000,0.004,0,0,0.23,0,0,531.012700270601,998,0,0,0,0.008,0,0,656.670231254513,1000
"random","timeslice","seed_mass",23,27.032269,56.0007451415066,55.8085281038301,57.1078651821346,0.37372307710355,0.41142370934598,0.21485321355047,0.918,0.562,0.402,0.45,0.362,0.078,5.78556554737659,459,0.93,0.83,0.054,0.652,0.358,0.42,8.99252824172952,465,0.912,0.338,0.172,0.348,0.156,0.106,7.23456358565647,456
"random","timeslice","seed_mass",54,90.236331,164.276047627184,135.863001932021,165.961170294538,0.000000676371189165916,0.999999032379194,0.000000291249616478488,0.052,0,0,0.056,0,0.052,89.3069343860905,974,0.876,0,0,0.228,0.022,0.394,44.4365974001429,562,0.042,0,0,0.042,0,0.04,94.4603352327418,979
"random","timeslice","seed_mass",35,92.289107,69.8999132082539,83.1151435083068,69.7672590669359,0.483109009482156,0.000652220340020679,0.516238770177823,0.932,0.004,0.13,0.436,0.48,0.73,16.6860895298733,534,0.902,0,0.006,0.85,0.312,0.07,60.8494950816593,451,0.874,0.004,0.058,0.31,0.322,0.856,19.7130978836788,563
"random","timeslice","seed_mass",36,45.497681,64.8157629473774,48.3628299726444,67.1448122525905,0.000267385965882381,0.999649170636674,0.0000834433974439428,0.574,0.202,0.002,0.216,0,0.22,18.2998746057473,713,0.862,0.25,0.29,0.7,0.64,0.278,5.41498665761091,431,0.454,0.14,0,0.166,0.002,0.274,22.3381835381593,773
"random","timeslice","seed_mass",150,92.30532,266.018503409478,278.470951032282,265.868625496455,0.480816559285652,0.000950527687888079,0.51823291302646,0.228,0.002,0,0,0.026,0.222,47.2334704665621,886,0.93,0,0.07,0.002,0.55,0.032,62.6214021572827,535,0.216,0,0,0,0.02,0.236,53.9004619478617,892
"random","timeslice","seed_mass",155,81.886174,158.525083816006,151.416924447976,159.678476767135,0.0273842163890464,0.957232670944169,0.0153831126667841,0.358,0.05,0,0.172,0.002,0.566,22.8284056715817,821,0.97,0.09,0.002,0.66,0.544,0.356,26.0371644200934,485,0.308,0.042,0,0.16,0,0.552,27.8978862333383,846
"random","timeslice","seed_mass",57,89.629771,68.2504130634666,97.6312473884824,62.1259890625108,0.0446931641647933,0.0000000186326228006077,0.955306817202584,0.774,0.344,0.93,0.64,0.406,0.96,5.15538565588813,387,0.822,0.004,0.034,0.504,0.006,0.03,65.5686372941292,411,0.994,0.428,0.31,0.498,0.476,0.678,5.02392369262929,503
"random","timeslice","seed_mass",75,84.996371,94.3564725798585,111.830214631147,94.410655054203,0.506731164866379,0.0000813584637543464,0.493187476669867,0.674,0.044,0.05,0.228,0.118,0.472,11.2714451553383,663,0.844,0,0.056,0.62,0.894,0.638,44.9760966415849,422,0.564,0.038,0.016,0.184,0.054,0.524,15.3745136074542,718
"random","timeslice","seed_mass",34,67.819439,18.3427327368116,8.05836811891996,18.4185202882384,0.005778625094828,0.988657626772034,0.0055637481331376,0.688,0.518,0.194,0.436,0.086,0.532,5.97831121092722,656,0.962,0.696,0.66,0.516,0.472,0.718,3.17920094577517,481,0.494,0.434,0.046,0.332,0.01,0.658,9.62651197303946,753
"random","timeslice","seed_mass",49,73.989455,56.2035104579123,49.1597616413146,53.1188760520936,0.0253015788359875,0.85640312582646,0.118295295337552,0.88,0.474,0.042,0.48,0.024,0.716,6.73339158315819,560,0.922,0.35,0.138,0.998,0.54,0.604,4.65616373357463,461,0.854,0.326,0.012,0.4,0.016,0.842,8.95170618105268,573
"random","timeslice","seed_mass",499,88.200515,1379.9797189631,1299.24296188528,1382.25712093717,0.00000000000000000293924614434748,1,0.000000000000000000941248727258429,0.01,0,0,0,0,0,645.305189916187,995,0.168,0,0,0,0,0,352.24737828022,916,0.008,0,0,0,0,0,664.256714014137,996
"random","timeslice","seed_mass",299,77.696061,746.762070215072,672.079987322509,749.050903572134,0.0000000000000000606724805835437,1,0.0000000000000000193187001998508,0.458,0,0,0,0,0,262.172989443834,771,0.97,0,0,0.32,0,0.012,173.693746730305,515,0.466,0,0,0,0,0.004,280.574089771727,767
"random","timeslice","seed_mass",267,80.999558,574.158100922719,568.653608177627,576.518468967546,0.0588753648135659,0.923036816222226,0.0180878189642077,0.052,0,0,0,0,0.058,181.674138756779,974,0.244,0,0.002,0,0.938,0.066,120.659968370736,878,0.04,0,0,0,0.002,0.018,175.875521776709,980
"random","timeslice","seed_mass",371,73.83406,710.589230546512,700.115914261423,712.856008467,0.00528087421206474,0.99301899922983,0.00170012655810531,0.176,0,0.004,0,0.004,0.116,119.688858266093,912,0.61,0,0.106,0.006,0.12,0.108,84.8795094934011,695,0.144,0,0.002,0,0.006,0.064,122.7180397843,928
"random","timeslice","seed_mass",33,83.605798,60.5182084635842,80.3755687558076,60.097115813248,0.447547241817724,0.0000218206601286174,0.552430937522148,0.984,0.376,0.26,0.112,0.276,0.382,6.01698840898379,492,0.914,0.004,0,0.75,0.134,0.046,40.8376222481871,457,0.928,0.172,0.106,0.046,0.122,0.462,12.2282478932363,536
"random","timeslice","seed_mass",53,67.743585,118.52993268517,154.523789264141,120.49641215682,0.727750569459841,0.0000000111177244667614,0.272249419422434,0.664,0,0.046,0.062,0.288,0.302,34.9861496863562,668,0.97,0,0,0.472,0.724,0.01,121.936243601114,515,0.554,0.002,0.036,0.04,0.18,0.264,35.701620886398,723
"random","timeslice","seed_mass",36,88.04912,136.695486446928,128.34491357433,139.045314475462,0.015067657329419,0.980278763983648,0.00465357868693293,0.818,0,0.006,0,0.058,0.034,122.926916840404,591,0.844,0.002,0,0.482,0.634,0.126,50.2645855072427,578,0.788,0,0,0.002,0.042,0.02,111.220688362219,606
"random","timeslice","seed_mass",21,17.872609,29.880097621966,31.6152602037354,31.8168047267055,0.555656255843738,0.233356789391938,0.210986954764324,0.77,0.712,0.544,0.322,0.938,0.646,4.26768930274158,615,0.94,0.758,0.022,0.272,0.91,0.696,11.2386799755641,470,0.51,0.894,0.198,0.37,0.33,0.4,6.72024484168622,745
"random","timeslice","seed_mass",62,71.185022,123.402713944523,158.753876908693,115.022502351066,0.0149187429006726,0.000000000314285777082907,0.985081256785042,0.82,0.002,0.278,0.166,0.04,0.334,23.8722902412678,410,0.87,0,0.458,0.234,0.002,0.1,120.964772642205,435,0.92,0.074,0.742,0.036,0.932,0.454,11.6888221283013,540
"random","timeslice","seed_mass",47,89.031939,73.1919634675776,93.0965325105226,68.3131189837617,0.0802152230012895,0.0000038197465312976,0.919780957252179,0.946,0.232,0.614,0.014,0.436,0.66,13.8612487330086,473,0.97,0,0.036,0.166,0.048,0.318,38.9310074028327,485,0.972,0.152,0.226,0.002,0.19,0.61,22.0055903411328,514
"random","timeslice","seed_mass",53,91.360472,103.87213757708,143.952148389155,101.147525077931,0.20386573187823,0.00000000040372018676964,0.79613426771805,0.968,0.028,0.528,0.704,0.69,0.916,7.4665481222122,484,0.956,0,0.016,0.628,0.108,0.148,94.2413606590511,478,0.984,0.014,0.28,0.88,0.322,0.846,10.8875104525744,508
"random","timeslice","seed_mass",140,70.964635,315.376561366972,311.574512686644,317.628671396812,0.124734055827281,0.834813425716186,0.0404525184565335,0.946,0,0.026,0.244,0.058,0.052,54.7411008555414,527,0.892,0,0.114,0.366,0.04,0.054,53.9832454187588,446,0.994,0,0.028,0.216,0.052,0.028,62.7049148226163,503
