"","taxa","rank","trait","size","age","dic.bm","dicw.bm","m.pic.mcmc.bm","v.pic.mcmc.bm","s.var.mcmc.bm","s.anc.mcmc.bm","s.hgt.mcmc.bm","d.ks.mcmc.bm","mv.mcmc.bm","dic.ou","dicw.ou","m.pic.mcmc.ou","v.pic.mcmc.ou","s.var.mcmc.ou","s.anc.mcmc.ou","s.hgt.mcmc.ou","d.ks.mcmc.ou","mv.mcmc.ou","dic.eb","dicw.eb","m.pic.mcmc.eb","v.pic.mcmc.eb","s.var.mcmc.eb","s.anc.mcmc.eb","s.hgt.mcmc.eb","d.ks.mcmc.eb","mv.mcmc.eb"
"83","Malvales","order","seedmass",267,80.999558,574.13486574695,0.0584167105531928,0,0,0.58,0,0.722,0.446,58.9425274914156,568.616198750284,0.922359892975491,0.006,0,0.814,0.002,0.006,0.146,86.2815823194918,576.35781351718,0.0192233964713162,0,0,0.498,0,0.636,0.448,66.2910503399474
"84","Sapindales","order","seedmass",371,73.83406,710.556126776692,0.00554825264126152,0,0,0.528,0,0.676,0.12,83.7653272603041,700.182138950048,0.992748095991081,0,0,0.852,0,0,0.05,96.8181238630189,712.917545232181,0.0017036513676575,0,0,0.7,0,0.888,0.146,78.1758261275875
"85","Zygophyllales","order","seedmass",33,83.605798,60.5996690554825,0.433911494766046,0.11,0.532,0.976,0.226,0.988,0.49,4.5282964288507,80.1954461062805,2.41119444434249e-05,0.556,0.002,0,0.766,0.152,0.058,34.4399495387659,60.0679345422802,0.56606439328951,0.082,0.418,0.678,0.132,0.666,0.564,6.40983396118139
"86","Malpighiales","order","seedmass",378,105.848039,838.881152226336,0.760298894612215,0,0,0.836,0.006,0.378,0.03,104.824074248512,851.256202617746,0.00156234272669092,0.004,0,0.548,0.008,0,0.014,167.314009044576,841.202868422709,0.238138762661094,0,0,0.704,0,0.586,0.03,112.836205623616
"87","Cucurbitales","order","seedmass",90,73.38489,150.87435633107,0.204044304673722,0.01,0.018,0.236,0.044,0.296,0.93,20.0672866641798,172.698087482447,3.7218723193914e-06,0.202,0,0.804,0.58,0,0.378,55.3717526011131,148.151952932809,0.795951973453959,0.006,0.012,0.672,0.03,0.83,0.862,22.893906994334
"88","Fagales","order","seedmass",207,82.105493,301.797353478114,0.37896543855367,0,0,0.61,0.18,0.426,0.06,68.3643754373545,311.653998760001,0.00274319244705685,0,0,0.094,0.41,0.026,0.014,118.221676668379,300.818323863215,0.618291368999273,0,0,0.52,0.14,0.764,0.084,66.8451897349268
"89","Rosales","order","seedmass",505,89.277082,995.11744323275,1.96615940786847e-05,0,0,0.016,0,0.312,0,224.845211468553,973.44380792827,0.999974288372528,0,0,0,0,0.1,0,247.904518779281,997.474650037159,6.05003339318271e-06,0,0,0.024,0,0.262,0,232.148117241476
"90","Fabales","order","seedmass",1310,72.048792,2203.50325734091,1.44080548289878e-23,0,0,0,0,0.024,0,496.527222219145,2098.31474770383,1,0,0,0,0,0.008,0,536.075167860538,2205.66788050897,4.88161364071301e-24,0,0,0,0,0.02,0,549.179670337596
"91","Santalales","order","seedmass",33,64.840476,81.0827438408897,0.426724717477235,0.202,0.956,0.32,0.124,0.464,0.836,5.73852579437986,81.7609354736786,0.304004741761272,0.544,0.664,0.062,0.652,0.074,0.624,10.3592846358325,82.0035888681767,0.269270540761493,0.21,0.848,0.228,0.124,0.306,0.608,6.71610090457986
"92","Caryophyllales","order","seedmass",588,89.460939,1419.39426309787,8.07349598251363e-21,0,0,0,0,0,0.008,203.055881685948,1326.86286238357,1,0,0,0,0.054,0.126,0.002,234.784694282417,1421.59257504921,2.68970257356247e-21,0,0,0,0,0.002,0.008,222.770216135147
"93","Cornales","order","seedmass",64,97.740469,124.37968164235,0.239769510440818,0.078,0.008,0.096,0.19,0.02,0.554,22.1873705015101,169.728923568306,3.40667884072431e-11,0.66,0,0.056,0.328,0.076,0.016,196.659797986074,122.071794493814,0.760230489525116,0.03,0.042,0.362,0.084,0.334,0.588,18.3301167192991
"94","Ericales","order","seedmass",459,92.447878,1005.36436662004,0.127853632587803,0,0,0.006,0.664,0.748,0.012,135.154843450021,1001.62819257964,0.827966864134559,0,0,0,0.508,0.062,0.006,190.812615516997,1007.48961693893,0.0441795032776374,0,0,0.014,0.652,0.61,0.014,129.884793723003
"95","Dipsacales","order","seedmass",95,91.355927,185.413639564364,0.758694506373309,0.002,0,0.184,0.242,0.604,0.2,47.2521810136677,195.35679787392,0.00525941627731909,0.172,0,0,0.768,0.892,0.038,128.330176531543,187.748783909368,0.236046077349371,0,0,0.208,0.198,0.62,0.2,53.7714357690452
"96","Asterales","order","seedmass",1156,83.6636720000001,2276.89921863053,5.27198767761595e-44,0,0,0,0.238,0,0,386.495336341733,2077.59654536679,1,0,0,0,0.586,0.576,0,412.387355776127,2279.04052560648,1.80715533690666e-44,0,0,0,0.24,0,0,397.398935196534
"97","Gentianales","order","seedmass",401,58.804912,894.912027563174,1.06165551025978e-06,0,0,0.06,0.48,0.226,0.014,96.933047689946,867.400668278698,0.999998576186263,0,0,0.182,0.916,0.054,0.006,111.249355727391,897.063034691439,3.62158226736112e-07,0,0,0.044,0.542,0.196,0.026,101.032880732908
"98","Solanales","order","seedmass",263,66.196122,548.167734255468,8.93552213735285e-13,0,0,0,0.006,0,0,235.450195694992,492.68059100605,0.999999999998839,0,0,0,0.296,0.89,0,232.514284401151,550.581193036219,2.67327735599432e-13,0,0,0,0.008,0.01,0,225.487276706815
"99","Lamiales","order","seedmass",803,61.39451,1337.89138468042,0.557354926914892,0,0,0.75,0.066,0.074,0.08,141.685131451096,1339.56399464715,0.241506711917885,0,0,0.644,0.15,0,0.03,191.720059643614,1339.92980310728,0.201138361167223,0,0,0.828,0.07,0.118,0.054,138.578395297639
"100","random","timeslice","seedmass",11086,234.540719,23382.4960916031,1.12872751030502e-219,0,0,0,0,0,0,3614.66748741238,22374.2060026739,1,0,0,0,0,0.928,0,4006.90592337573,23384.4110008728,4.3328319542837e-220,0,0,0,0,0,0,4079.93211058574
"101","random","timeslice","seedmass",11048,188.283244,23269.8847618751,2.81794540742678e-214,0,0,0,0,0,0,3840.18297401921,22286.4503581546,1,0,0,0,0,0.838,0,3939.75297614675,23271.8845205835,1.03678925847343e-214,0,0,0,0,0,0,3687.85592025552
"102","random","timeslice","seedmass",33,96.478688,62.1495684036907,0.000559967779574992,0.042,0.026,0.586,0.204,0.238,0.414,14.6818328975833,47.17657633573,0.998865365801472,0.156,0.062,0.9,0.932,0.992,0.81,5.91865548359532,62.0977474318927,0.000574666418953278,0.042,0.012,0.332,0.174,0.17,0.434,16.7313725811141
"103","random","timeslice","seedmass",23,140.998137,51.2140900000221,0.470768207507318,0.21,0.83,0.61,0.906,0.632,0.244,3.99158714219629,66.729164588364,0.00020125722761287,0.816,0.006,0.186,0.784,0.138,0.572,25.6263888414472,50.9807293832946,0.52903053526507,0.202,0.58,0.886,0.576,0.876,0.464,3.85982569660835
"104","random","timeslice","seedmass",1786,137.533978,3662.47170292151,3.10086713298573e-38,0,0,0,0.004,0,0,757.538222605823,3489.73859943935,1,0,0,0,0.534,0,0,997.187146580877,3664.64807207278,1.04445708764518e-38,0,0,0,0.006,0,0,796.369660374699
"105","random","timeslice","seedmass",33,122.157858,90.309726196192,0.070210777269819,0.322,0.446,0.062,0.718,0.122,0.018,10.7617403981515,85.2957119709764,0.861356897999179,0.568,0.338,0.004,0.882,0.346,0.382,14.3005784145902,90.361039245848,0.0684323247310014,0.252,0.252,0.062,0.702,0.11,0.042,10.9272233753116
"106","random","timeslice","seedmass",144,137.914322,370.414966937696,0.0998631464400527,0.002,0,0.044,0,0.106,0.406,51.4210390118738,366.090182116057,0.868001223227652,0.196,0,0,0.532,0.536,0.012,130.284953489829,372.682637576345,0.0321356303322954,0.002,0,0.028,0.006,0.092,0.326,52.1268645816504
"107","random","timeslice","seedmass",9028,136.900468,18947.4295136646,9.34637017086526e-174,0,0,0,0,0,0,2862.80810197412,18150.5998774045,1,0,0,0,0,0.016,0,3283.55961383476,18949.3782387779,3.52762730812885e-174,0,0,0,0,0,0,3062.24114735404
"108","random","timeslice","seedmass",70,80.587887,33.8892379327191,0.0386575213694648,0,0,0.726,0.33,0.144,0.57,40.5295865578559,59.5723366513982,1.02381144179903e-07,0.018,0,0.016,0.42,0.058,0.098,127.871152795096,27.462059416369,0.961342376249391,0,0,0.898,0.118,0.794,0.774,35.1243041373742
"109","random","timeslice","seedmass",112,54.836678,165.843144614149,0.17526081250363,0,0.002,0.466,0.01,0.336,0.514,39.1530095057262,162.978806647433,0.733952420983249,0.008,0,0.512,0.254,0.22,0.17,60.6173089403455,167.158667993887,0.0907867665131206,0,0,0.34,0,0.24,0.5,52.5471455998347
"110","random","timeslice","seedmass",204,78.292852,232.105762702459,0.737410603271778,0,0.028,0.684,0.364,0.262,0.436,35.1487649123267,247.401634062355,0.000351765395732292,0,0,0.006,0.392,0.004,0.12,72.1778540430699,234.173550267361,0.262237631332489,0,0.022,0.646,0.348,0.388,0.38,34.7693526998207
"111","random","timeslice","seedmass",23,92.173209,54.2490052599816,0.000100903613028071,0.15,0.002,0.182,0.012,0.144,0.964,25.5707460996577,35.8465911716358,0.999862230426833,0.256,0.094,0.972,0.414,0.5,0.326,7.18313918529304,56.2627594577732,3.68659601389297e-05,0.148,0.002,0.122,0.008,0.12,0.726,35.5814123012048
"112","random","timeslice","seedmass",21,78.827623,15.5669447589246,0.556201378088685,0.094,0.01,0.552,0.69,0.166,0,29.0256396054998,38.033038706671,7.35837208808006e-06,0.344,0,0.002,0.756,0.896,0,68.978259606332,16.0184969484415,0.443791263539227,0.028,0.026,0.778,0.762,0.946,0.002,23.4727164776257
"113","random","timeslice","seedmass",31,65.000546,157.13028201706,7.06183659865712e-14,0.124,0,0.01,0,0.066,0.132,215.157270012525,96.5673097314816,0.999999999999909,0.88,0.016,0.058,0.29,0.016,0.522,19.2143235773786,159.582009587536,2.07267775737165e-14,0.088,0,0.012,0,0.054,0.118,229.182542846564
"114","random","timeslice","seedmass",1199,90.169528,2064.09769206501,7.9175974134164e-35,0,0,0,0.012,0,0,379.066874571933,1907.05491116125,1,0,0,0,0.23,0.488,0,412.90201031471,2066.45604854378,2.43490943671076e-35,0,0,0,0.002,0,0.002,389.925441296307
"115","random","timeslice","seedmass",23,27.032269,55.9854521671787,0.376136025274291,0.374,0.64,0.676,0.386,0.712,0.108,4.7197214976512,55.7688072937557,0.419168624481117,0.584,0.82,0.054,0.654,0.388,0.452,7.64890273681576,57.2023083069378,0.204695350244591,0.384,0.36,0.382,0.324,0.4,0.164,5.60237234872603
"116","random","timeslice","seedmass",54,90.236331,164.325499669136,6.03719574124966e-07,0.144,0.002,0.036,0.174,0.07,0.42,23.5188773477137,135.685189320376,0.999999146306622,0.38,0,0,0.252,0.188,0.552,31.5790801213378,166.089007032598,2.49973803692479e-07,0.146,0,0.036,0.174,0.068,0.338,26.2129390550985
"117","random","timeslice","seedmass",35,92.289107,69.9682524834367,0.49417162975466,0.052,0.084,0.798,0.78,0.844,0.648,9.89813139086289,83.2358122029842,0.000649925866411122,0.564,0,0.008,0.8,0.302,0.072,61.4554546360449,69.9241948103083,0.505178444378929,0.04,0.082,0.62,0.64,0.986,0.698,9.78063757757173
"118","random","timeslice","seedmass",36,45.497681,64.8116593899722,0.000251268912271333,0.05,0.626,0.394,0.938,0.132,0.624,7.03105206501704,48.2343499246584,0.999667959092589,0.08,0.218,0.414,0.674,0.84,0.308,6.72697288757086,67.0814462271998,8.07719951400912e-05,0.028,0.722,0.272,0.962,0.092,0.354,8.6214034218172
"119","random","timeslice","seedmass",150,92.30532,266.0242929863,0.510316743294809,0,0.046,0.884,0,0.77,0.482,38.4166786660533,278.498753205844,0.00099780390340575,0.022,0,0.262,0.006,0.068,0.052,72.0764006052615,266.110918109343,0.488685452801785,0,0.052,0.79,0.002,0.884,0.518,39.1548490830023
"120","random","timeslice","seedmass",155,81.886174,158.408626498795,0.027584453088646,0,0.262,0.262,0.166,0.706,0.558,29.5427753984989,151.307670525836,0.96076544625414,0,0.026,0.006,0.702,0.074,0.246,41.0499870822067,160.132501498886,0.0116501006572138,0,0.232,0.17,0.16,0.526,0.57,31.4844489761936
"121","random","timeslice","seedmass",57,89.629771,68.2155953636261,0.0336412921198332,0.012,0.672,0.87,0.62,0.088,0.724,12.957019055498,95.8099998240487,3.42628806828893e-08,0.272,0,0.01,0.5,0.006,0.024,73.2123408293648,61.5000337267241,0.966358673617286,0.002,0.776,0.718,0.496,0.9,0.92,11.7064863832004
"122","random","timeslice","seedmass",75,84.996371,94.4346837154111,0.628394066484186,0,0.102,0.91,0.456,0.68,0.826,13.4618458435871,112.041348079051,9.44046717911044e-05,0.074,0,0.092,0.71,0.174,0.494,67.0851040279684,95.4858588497584,0.371511528844023,0,0.122,0.884,0.434,0.924,0.774,13.3672149293311
"123","random","timeslice","seedmass",34,67.819439,18.2607276088729,0.00618345251797297,0,0.942,0.914,0.458,0.788,0.59,7.9319829514496,8.11848014213977,0.985353547959506,0,0.734,0.68,0.488,0.628,0.832,8.26048125211316,17.6330738310231,0.00846299952252085,0,0.992,0.738,0.422,0.6,0.528,8.99552831972993
"124","random","timeslice","seedmass",49,73.989455,56.194733897902,0.0256876873554097,0.008,0.65,0.61,0.798,0.58,0.772,7.61464938497464,49.2616042920722,0.822687638705457,0.012,0.38,0.268,0.982,0.688,0.62,8.32523345070619,52.6439410360057,0.151624673939133,0.006,0.55,0.374,0.688,0.494,0.806,8.0270530532841
"125","random","timeslice","seedmass",499,88.200515,1380.03941663851,3.10270728292441e-18,0,0,0,0,0,0,278.520888392389,1299.41090338561,1,0,0,0,0.002,0.494,0.006,202.254978181288,1382.1849058196,1.06133808555384e-18,0,0,0,0,0,0,267.785342374409
"126","random","timeslice","seedmass",299,77.696061,746.800727537385,5.49082812650759e-17,0,0,0,0,0,0.01,152.747388672975,671.91899254931,1,0,0,0,0.16,0.292,0.016,170.32062107207,748.919482464242,1.90351394621985e-17,0,0,0,0.01,0,0.012,163.542836632131
"127","random","timeslice","seedmass",267,80.999558,574.127975369436,0.0592608406026356,0,0,0.56,0,0.696,0.438,66.7580203468461,568.639053376056,0.921875077620773,0.004,0,0.794,0.008,0.004,0.136,90.9974509131871,576.417353465816,0.018864081776591,0,0,0.478,0,0.568,0.486,65.6113679838852
"128","random","timeslice","seedmass",371,73.83406,710.598085524881,0.0050944706328217,0,0,0.564,0,0.712,0.122,92.8887647343048,700.052394521375,0.993268741798302,0,0,0.9,0,0,0.046,107.050261372586,712.868926005912,0.00163678756887588,0,0,0.678,0,0.88,0.11,85.9806165890385
"129","random","timeslice","seedmass",33,83.605798,60.5537558165506,0.364868787454852,0.128,0.546,0.926,0.254,0.902,0.536,4.76001785475495,79.9497989146261,2.24047173455225e-05,0.59,0.01,0.004,0.758,0.142,0.056,32.7925133084976,59.4452387513565,0.635108807827802,0.076,0.384,0.706,0.132,0.684,0.476,6.89681842561707
"130","random","timeslice","seedmass",53,67.743585,118.552676545559,0.712285377261333,0.074,0.02,0.702,0.172,0.772,0.496,13.1584383800171,153.837712372941,1.55097876533331e-08,0.62,0,0,0.476,0.836,0.008,122.795626676632,120.365695745895,0.28771460722888,0.08,0.05,0.706,0.122,0.952,0.5,11.8763021154408
"131","random","timeslice","seedmass",36,88.04912,136.697661273993,0.0149488677316294,0.21,0,0.066,0.004,0.262,0.11,57.8527382794698,128.331393335885,0.980212641262372,0.98,0,0,0.506,0.702,0.158,46.763604084788,138.953726600908,0.00483849100599835,0.216,0,0.046,0.004,0.208,0.054,64.5772672204569
"132","random","timeslice","seedmass",21,17.872609,29.8584109512672,0.541426731370394,0.118,0.292,0.726,0.246,0.424,0.85,6.07926646224778,31.5696340288833,0.230118918366721,0.244,0.704,0.034,0.322,0.93,0.588,8.00387347131221,31.5841536315604,0.228454350262885,0.072,0.192,0.932,0.19,0.97,0.832,6.9948508235667
"133","random","timeslice","seedmass",62,71.185022,123.397145400583,0.0170119686810582,0.2,0,0.116,0.214,0.004,0.232,36.0453777074831,158.77014466982,3.5449113504225e-10,0.596,0,0.206,0.21,0,0.078,152.286356470031,115.28378578529,0.982988030964451,0.034,0.096,0.416,0.064,0.368,0.362,16.9124615495643
"134","random","timeslice","seedmass",47,89.031939,73.2188032494367,0.0730889870363159,0.04,0.082,0.584,0.004,0.844,0.512,17.5201669344134,93.503403259741,2.87810753742237e-06,0.334,0,0.042,0.152,0.082,0.238,40.459504362216,68.1384497254625,0.926908134856147,0.028,0.07,0.858,0.01,0.706,0.612,22.1859036099291
"135","random","timeslice","seedmass",53,91.360472,103.828519041315,0.306690396261296,0.118,0.012,0.892,0.542,0.582,0.966,11.678256846358,144.494210822406,4.53166090461541e-10,0.612,0,0.002,0.672,0.092,0.102,93.0264722284933,102.197243241482,0.693309603285538,0.102,0.008,0.742,0.584,0.86,0.98,12.926050356928
"136","random","timeslice","seedmass",140,70.964635,315.399138376178,0.118577508821174,0.018,0,0.416,0.956,0.636,0.028,56.1592183601363,311.473219147268,0.844315672392499,0.108,0,0.06,0.29,0.012,0.006,69.3054980739659,317.722670540439,0.0371068187863262,0.018,0,0.372,0.83,0.56,0.026,59.0871149704022
"137","random","timeslice","seedmass",90,73.38489,150.831778678803,0.15110110999773,0.008,0.018,0.218,0.044,0.336,0.978,19.5019917935354,172.645358967572,2.77018567866715e-06,0.19,0,0.778,0.526,0,0.354,53.75847257013,147.379803463739,0.848896119816591,0.012,0.02,0.696,0.028,0.854,0.822,21.8123076857834
"138","random","timeslice","seedmass",207,82.105493,301.883047090414,0.365990392558346,0,0,0.642,0.192,0.424,0.066,69.4860608148157,311.897033097158,0.00244883911057542,0,0,0.1,0.44,0.022,0.018,121.702307412599,300.791872925419,0.631560768331079,0,0,0.56,0.168,0.616,0.082,65.8568140099046
"139","random","timeslice","seedmass",505,89.277082,995.172803866323,1.9169133799301e-05,0,0,0.016,0,0.326,0,220.430577952558,973.448436845389,0.99997432364761,0,0,0,0,0.078,0,244.426483269762,997.33358238159,6.50721859116843e-06,0,0,0.022,0,0.248,0,227.467816395681
"140","random","timeslice","seedmass",1310,72.048792,2203.41731394385,1.63668057290915e-23,0,0,0,0,0.026,0,565.392036652958,2098.4837399657,1,0,0,0,0,0.008,0,522.368175403661,2205.64852059405,5.36368864098133e-24,0,0,0,0,0.012,0,575.294314417144
"141","random","timeslice","seedmass",33,64.840476,80.9953883094436,0.435585671956608,0.242,0.89,0.34,0.14,0.474,0.88,5.23418456117473,81.7674524888611,0.296088799648963,0.568,0.744,0.052,0.622,0.042,0.7,10.6709588261591,81.9643695019588,0.268325528394429,0.178,0.826,0.19,0.164,0.27,0.682,6.48915289312568
"142","random","timeslice","seedmass",588,89.460939,1419.3900480319,7.88100087869554e-21,0,0,0,0,0.004,0.004,196.563687319338,1326.81038394789,1,0,0,0.002,0.05,0.116,0.01,247.098735984708,1421.55930798041,2.6639898340239e-21,0,0,0,0,0,0.006,212.758580139434
"143","random","timeslice","seedmass",21,65.418613,9.1065492060047,0.463856315328242,0.032,0.126,0.418,0.114,0.07,0.78,15.5428408846458,17.0939613463279,0.00854946552131328,0.058,0.002,0.348,0.136,0.166,0.304,NA,8.8490439562556,0.527594219150445,0.004,0.326,0.856,0.034,0.94,0.55,14.6635386495876
"144","random","timeslice","seedmass",43,87.874555,96.4778651972377,0.313174284788548,0.216,0.27,0.368,0.992,0.15,0.82,7.78833168373843,140.632866882877,8.08442812037235e-11,0.898,0,0,0.804,0.14,0.02,117.880590189527,94.9072237686626,0.686825715130608,0.11,0.452,0.696,0.832,0.496,0.776,6.23084939376466
"145","random","timeslice","seedmass",459,92.447878,1005.28594575118,0.120724724729048,0,0,0.022,0.622,0.714,0.014,139.046158568487,1001.40553680725,0.840265088475703,0,0,0.002,0.504,0.078,0.004,203.060174947211,1007.54532603059,0.0390101867952487,0,0,0.01,0.65,0.606,0.014,123.554721852225
"146","random","timeslice","seedmass",23,69.070207,43.3587567433926,0.0156650719247082,0.104,0.336,0.34,0.06,0.472,0.292,8.58610657160203,35.1115114054714,0.967829741359666,0.264,0.932,0.32,0.524,0.674,0.866,3.26052181065519,43.2542744192111,0.0165051867156262,0.11,0.186,0.294,0.048,0.41,0.35,10.6658507265203
"147","random","timeslice","seedmass",95,91.355927,185.488131587184,0.750711526357749,0,0,0.214,0.216,0.662,0.18,45.4148058427385,195.985763714108,0.00394403927614482,0.174,0,0,0.688,0.844,0.046,146.228395162754,187.724848348775,0.245344434366106,0,0,0.186,0.196,0.542,0.222,47.6784786898043
"148","random","timeslice","seedmass",278,81.066146,290.832407784654,0.00148890772076577,0,0.57,0.178,0.346,0.616,0.626,42.1338912323473,277.816892498764,0.998047051270183,0,0.082,0.014,0.294,0.006,0.756,52.0595052079605,293.164058038459,0.000464041009050715,0,0.502,0.164,0.344,0.568,0.612,42.6809325480772
"149","random","timeslice","seedmass",1156,83.6636720000001,2276.77932582018,5.72115547934295e-44,0,0,0,0.254,0,0,401.313015932915,2077.64017922044,1,0,0,0,0.528,0.58,0,453.152655013337,2278.90301185271,1.97847782857669e-44,0,0,0,0.22,0,0,379.409895747454
"150","random","timeslice","seedmass",1619,79.136666,3132.63407467428,9.43502153121943e-20,0,0,0.002,0.002,0.142,0.002,428.494799953826,3045.01952787627,1,0,0,0.046,0.066,0,0,475.733785571359,3134.59537198753,3.53877210596629e-20,0,0,0.002,0.004,0.12,0,401.026154185222
"151","random","timeslice","seedmass",38,39.202342,25.2588470579659,0.471231715606625,0.014,0.11,0.556,0.17,0.11,0.352,15.4418935799139,44.77821149635,2.72056044497972e-05,0.056,0,0.036,0.496,0.318,0.796,43.7330622565707,25.0285492185347,0.528741078788925,0,0.522,0.944,0.172,0.854,0.156,14.2995112218109
"152","random","timeslice","seedmass",32,41.875495,59.5967827532961,0.000363979403011174,0.03,0.176,0.188,0.002,0.166,0.178,29.249127324975,43.7610797555146,0.999438379595891,0.114,0.332,0.226,0.106,0.59,0.21,9.43235308201371,60.8180727966549,0.000197641001097483,0.022,0.104,0.138,0,0.154,0.196,46.4633447130243
"153","random","timeslice","seedmass",77,34.132798,98.3670459239956,0.423156221718737,0.002,0.002,0.412,0.186,0.51,0.652,25.5991989699957,111.420768287648,0.000619328314152036,0.032,0,0.916,0.586,0.172,0.172,66.0525247424387,97.7495342729416,0.576224449967111,0,0.028,0.932,0.098,0.924,0.83,20.0028291383143
"154","random","timeslice","seedmass",28,42.257101,30.3240030699961,6.73896250912499e-05,0.01,0.006,0.862,0.814,0.308,0.304,18.2869150029609,11.1142780597371,0.999843035158372,0.002,0.05,0.928,0.97,0.498,0.55,10.8046434752616,29.7548278602076,8.95752165367249e-05,0.016,0.022,0.694,0.878,0.436,0.426,16.6358567262029
"155","random","timeslice","seedmass",25,41.166814,29.6484031194796,0.645370190496298,0.046,0.838,0.454,0.752,0.952,0.088,10.7075620027682,40.2695440932945,0.00318755321103239,0.328,0.016,0.004,0.816,0.646,0.732,26.934549484918,30.8639604617331,0.351442256292669,0.052,0.91,0.354,0.602,0.484,0.03,10.2861934603728
"156","random","timeslice","seedmass",21,42.170207,36.8245996861473,0.21872536029381,0.192,0.356,0.736,0.002,0.82,0.882,18.7307288730016,34.9854651586089,0.548607990692772,0.314,0.188,0.266,0,0.698,0.644,21.8146400967414,36.7010199701792,0.232666649013418,0.242,0.224,0.736,0,0.654,0.774,30.9270719132764
"157","random","timeslice","seedmass",60,32.557838,80.2348178567363,0.677299931747076,0.002,0.048,0.382,0.974,0.798,0.52,14.895901035515,96.1638957493158,0.000235410438647795,0.116,0,0.004,0.93,0.362,0.184,84.8269182910646,81.7190591835182,0.322464657814276,0.002,0.056,0.386,0.944,0.93,0.376,14.7444969612795
"158","random","timeslice","seedmass",346,36.281768,453.026736388605,1.47367659407334e-07,0,0,0.452,0.02,0.18,0.064,70.2301828255419,421.566066204424,0.999999803820187,0,0,0.608,0.27,0.03,0.028,83.8204939175518,455.236638811339,4.88121539064084e-08,0,0,0.39,0.018,0.158,0.058,79.5398592924767
"159","random","timeslice","seedmass",63,41.661223,148.116707391981,8.80400995986233e-05,0.024,0.24,0.714,0.006,0.714,0.622,22.7190830744507,129.441504729188,0.999883168203229,0.19,0.032,0.02,0.074,0.338,0.94,20.7575091855725,150.352118062002,2.87916971719e-05,0.016,0.204,0.616,0.002,0.596,0.674,26.6511436913495
"160","random","timeslice","seedmass",692,19.128619,1066.61064525081,9.47435433505436e-15,0,0,0.022,0.066,0.028,0.014,158.152316934997,1002.03026967016,0.999999999999988,0,0,0.11,0.964,0.086,0.006,177.314950597777,1068.86759473511,3.06520319492912e-15,0,0,0.028,0.044,0.046,0.02,178.111346135413
"161","random","timeslice","seedmass",23,27.032269,56.0373639581044,0.363622435898423,0.396,0.636,0.642,0.432,0.646,0.07,5.13246339299694,55.7391250480536,0.422097158233029,0.6,0.802,0.074,0.596,0.38,0.484,7.5738045598036,57.0950251584566,0.214280405868548,0.372,0.428,0.406,0.33,0.404,0.158,5.02697559142763
"162","random","timeslice","seedmass",39,34.777204,119.019158750778,6.96194517286511e-07,0.196,0,0.044,0.264,0.016,0.546,19.9017314031727,90.6638871469354,0.999999065122518,0.314,0.002,0.166,0.702,0.096,0.55,18.3167852096522,121.160144621892,2.3868296488612e-07,0.204,0.002,0.028,0.22,0.014,0.636,22.2511832745437
"163","random","timeslice","seedmass",91,32.1542,127.64031188348,0.387868263397,0,0.182,0.478,0,0.67,0.97,32.590479613295,136.430105990997,0.0047863527957575,0.022,0,0.754,0.028,0.17,0.416,34.0045359277085,126.743448131628,0.607345383807243,0.002,0.306,0.876,0,0.988,0.894,32.8901558809001
"164","random","timeslice","seedmass",52,36.797721,110.927396217589,0.00730225214201552,0.03,0.088,0.51,0.068,0.836,0.656,12.6860046528917,101.108079568912,0.990134841627019,0.22,0,0.016,0.206,0.966,0.764,26.8412818286734,113.021478121832,0.00256290623096551,0.026,0.13,0.488,0.096,0.752,0.706,11.7897524309383
"165","random","timeslice","seedmass",118,40.425031,132.361901901813,0.322366528841587,0,0.528,0.396,0.33,0.922,0.404,18.4875471417654,131.2256292138,0.56896876070545,0,0.294,0,0.724,0.124,0.814,24.0243685389008,134.536746093699,0.108664710452964,0,0.544,0.394,0.276,0.782,0.504,19.7925374942689
"166","random","timeslice","seedmass",32,29.260971,27.6209866680611,0.327283833136625,0.01,0.376,0.586,0.224,0.352,0.816,8.76704158037609,34.4344807124552,0.010849085204224,0.056,0.532,0.036,0.468,0.284,0.83,9.46646268304621,26.2125127337992,0.661867081659151,0.004,0.336,0.604,0.146,0.944,0.96,9.22944380050511
"167","random","timeslice","seedmass",22,36.398807,8.92777443591592,0.107073383636278,0.008,0.49,0.588,0.546,0.81,0.11,9.5882369483695,4.78511968417903,0.8496647021767,0.008,0.704,0.948,0.64,0.512,0.034,8.99514344563365,10.7402579554978,0.043261914187022,0.006,0.392,0.784,0.496,0.68,0.472,6.83056305449927
"168","random","timeslice","seedmass",34,32.642112,37.3519361324895,0.0384297197656883,0.014,0.72,0.46,0.108,0.872,0.246,9.81322262446178,30.9668425468279,0.935777659798438,0.022,0.686,0.174,0.416,0.18,0.182,11.1335360952614,38.1494215146546,0.0257926204358741,0.018,0.56,0.33,0.086,0.784,0.182,11.9513238211441
"169","random","timeslice","seedmass",33,42.615916,16.6742244665768,0.0190896143471048,0,0.742,0.806,0.432,0.804,0.428,9.71180139077894,8.82166092514956,0.968187925569514,0.002,0.492,0.676,0.588,0.628,0.636,8.14778036806089,17.4857754540009,0.0127224600833809,0.004,0.904,0.944,0.444,0.872,0.414,8.5223141381314
