"","taxa","rank","trait","size","age","aic.w.bm","aic.w.ou","aic.w.eb","model.used","mv.modelad","sigsq.est","var.contrast","cor.constrast.var","cor.contrast.asr","cor.contrast.nh","ks.contrast"
"11","Papaveraceae","family","seedMass",25,112.982362,"0.468897033469492","0.172495288510838","0.35860767801967","BM","9.16961253644616","0.155844155844156","0.445554445554446","0.683316683316683","0.295704295704296","0.013986013986014","0.981018981018981"
"12","Crassulaceae","family","seedMass",36,70.268061,"0.367904982750894","0.496751047384762","0.135343969864343","OU","7.95898668759325","0.00999000999000999","0.00599400599400599","0.233766233766234","0.195804195804196","0.515484515484515","0.821178821178821"
"13","Grossulariaceae","family","seedMass",23,45.387853,"0.527859928408439","0.277951916454064","0.194188155137497","BM","8.39288758003767","0.003996003996004","0.017982017982018","0.661338661338661","0.635364635364635","0.823176823176823","0.051948051948052"
"14","Saxifragaceae","family","seedMass",50,75.253323,"0.00206598415641735","0.997173990247455","0.000760025596127733","OU","9.90058484007059","0.003996003996004","0.047952047952048","0.325674325674326","0.173826173826174","0.227772227772228","0.933066933066933"
"15","Onagraceae","family","seedMass",71,62.524008,"1.15193450851009e-06","0.999998424298405","4.23767086062514e-07","OU","41.2084539394885","0.161838161838162","0.443556443556444","0.251748251748252","0","0.813186813186813","0.045954045954046"
"16","Melastomataceae","family","seedMass",36,59.843329,"0.323648213695099","0.557289128097809","0.119062658207091","OU","9.22195131676178","0.283716283716284","0.723276723276723","0.35964035964036","0.605394605394605","0.987012987012987","0.587412587412587"
"17","Cleomaceae","family","seedMass",22,65.299793,"0.460139665453763","0.370585150936552","0.169275183609685","BM","4.25814350361412","0.103896103896104","0.553446553446553","0.579420579420579","0.441558441558442","0.953046953046953","0.753246753246753"
"18","Brassicaceae","family","seedMass",232,60.746364,"5.79612557100011e-17","1","2.13224613874396e-17","OU","38.6113085795678","0","0.599400599400599","0.001998001998002","0.011988011988012","0.403596403596404","0.491508491508492"
"19","Thymelaeaceae","family","seedMass",23,58.691934,"0.408900509584789","0.440673943781439","0.150425546633772","OU","6.6061990230802","0.44955044955045","0.645354645354645","0.107892107892108","0.0899100899100899","0.177822177822178","0.491508491508492"
"20","Cistaceae","family","seedMass",21,36.874084,"0.0739958709182886","0.898782723403427","0.0272214056782846","OU","11.539781672908","0.297702297702298","0.891108891108891","0.155844155844156","0.017982017982018","0.293706293706294","0.297702297702298"
"21","Malvaceae","family","seedMass",173,69.119388,"0.508734822661365","0.304113099121366","0.187152078217269","BM","27.918983899825","0","0.045954045954046","0.1998001998002","0.017982017982018","0.1998001998002","0.387612387612388"
"22","Anacardiaceae","family","seedMass",55,59.095478,"0.27120260838619","0.629028117352746","0.0997692742610636","OU","4.21012867528348","0.10989010989011","0.455544455544456","0.451548451548452","0.529470529470529","0.483516483516484","0.807192807192807"
"23","Sapindaceae","family","seedMass",143,66.250219,"0.52827049881705","0.277390507961389","0.194338993221561","BM","28.8723825692056","0","0.001998001998002","0.145854145854146","0.0999000999000999","0.0959040959040959","0"
"24","Meliaceae","family","seedMass",44,52.761157,"0.0194547292068936","0.973388340266962","0.00715693052614435","OU","3.52188908966476","0.45954045954046","0.743256743256743","0.689310689310689","0.497502497502497","0.161838161838162","0.725274725274725"
