"","taxa","rank","trait","size","age","aic.bm","aicw.bm","m.pic.ml.bm","v.pic.ml.bm","s.var.ml.bm","s.anc.ml.bm","s.hgt.ml.bm","d.ks.ml.bm","mv.ml.bm","mean.diag.bm","aic.ou","aicw.ou","m.pic.ml.ou","v.pic.ml.ou","s.var.ml.ou","s.anc.ml.ou","s.hgt.ml.ou","d.ks.ml.ou","mv.ml.ou","mean.diag.ou","aic.eb","aicw.eb","m.pic.ml.eb","v.pic.ml.eb","s.var.ml.eb","s.anc.ml.eb","s.hgt.ml.eb","d.ks.ml.eb","mv.ml.eb","mean.diag.eb"
"out.ml266","Alismatales","order","SLA",46,145.130378,-13.2580366223723,0.529421831307694,0,0.15984015984016,0.857142857142857,0.657342657342657,0.155844155844156,0.491508491508492,16.4653422740256,0,-11.946383640218,0.274776773607337,0,0.133866133866134,0.633366633366633,0.593406593406593,0.103896103896104,0.579420579420579,16.7241894859853,0,-11.2686672790688,0.19580139508497,0,0.145854145854146,0.885114885114885,0.585414585414585,0.151848151848152,0.545454545454545,16.8195954398807,0
"out.ml267","Poales","order","SLA",283,90.169528,-5.04265493890795,2.00302513507758e-07,0,0,0.451548451548452,0,0.945054945054945,0.13986013986014,138.104508188138,0,-35.8895284822093,0.999999726013055,0,0,0.163836163836164,0,0.0739260739260739,0.0739260739260739,142.049711699217,0,-3.04258042820811,7.36844315440522e-08,0,0,0.493506493506494,0,0.941058941058941,0.335664335664336,132.77321085679,0
"out.ml268","Saxifragales","order","SLA",32,108.091551,4.00845995963634,0.108784051805328,0,0.317682317682318,0.761238761238761,0.201798201798202,0.737262737262737,0.959040959040959,8.78078430692398,0,-0.105918938646012,0.85112090298688,0,0.765234765234765,0.511488511488511,0.351648351648352,0.575424575424575,0.875124875124875,7.62930041226832,0,6.00468391009759,0.0400950452077922,0,0.31968031968032,0.829170829170829,0.20979020979021,0.749250749250749,0.991008991008991,8.86401337057822,0
"out.ml269","Myrtales","order","SLA",64,88.200516,-33.2743390133044,0.571644521304353,0,0.133866133866134,0.271728271728272,0.909090909090909,0.153846153846154,0.397602397602398,21.7051400475137,0,-31.3577343868169,0.219250523447374,0,0.0799200799200799,0.215784215784216,0.877122877122877,0.163836163836164,0.4995004995005,22.0743441644592,0,-31.2629769577013,0.209104955248274,0,0.105894105894106,0.225774225774226,0.949050949050949,0.121878121878122,0.391608391608392,22.1185120483315,0
"out.ml270","Malvales","order","SLA",38,80.999558,-3.70940923229362,0.112701443637118,0,0.853146853146853,0.847152847152847,0.355644355644356,0.733266733266733,0.847152847152847,10.5929302720829,0,-7.67191817598361,0.817292217578947,0,0.765234765234765,0.601398601398601,0.365634365634366,0.191808191808192,0.775224775224775,11.0304999984171,0,-2.75709635526306,0.0700063387839349,0,0.705294705294705,0.849150849150849,0.28971028971029,0.823176823176823,0.981018981018981,10.0846754239351,0
"out.ml271","Malpighiales","order","SLA",103,105.848039,-66.1571670969647,0.454347605614789,0,0.00799200799200799,0.287712287712288,0.1998001998002,0,0.343656343656344,48.9129131020593,0,-64.0904351147892,0.161660194124762,0,0.003996003996004,0.311688311688312,0.177822177822178,0,0.443556443556444,45.392108956569,0,-65.8206864656562,0.383992200260449,0,0.025974025974026,0.693306693306693,0.115884115884116,0.011988011988012,0.307692307692308,41.3738068021762,0
"out.ml272","Fagales","order","SLA",93,82.105493,-82.6220733089998,0.521480763175696,0,0.0619380619380619,0.673326673326673,0.711288711288711,0.20979020979021,0.411588411588412,34.9822784778207,0,-81.4242287076101,0.28650330892912,0,0.031968031968032,0.477522477522478,0.631368631368631,0.147852147852148,0.387612387612388,37.3675410123172,0,-80.623885189201,0.192015927895183,0,0.043956043956044,0.683316683316683,0.705294705294705,0.217782217782218,0.547452547452547,34.9425348510565,0
"out.ml273","Rosales","order","SLA",144,89.277084,-69.0431982197645,0.129496385117548,0,0.03996003996004,0.357642357642358,0.231768231768232,0.481518481518482,0.821178821178821,45.6063136622151,0,-72.7415589649917,0.822898891226709,0,0.015984015984016,0.145854145854146,0.285714285714286,0.311688311688312,0.941058941058941,48.2635705744743,0,-67.0417562721229,0.0476047236557434,0,0.043956043956044,0.41958041958042,0.177822177822178,0.481518481518482,0.749250749250749,44.1602892555144,0
"out.ml274","Fabales","order","SLA",134,72.048793,-105.549104650283,0.406454211320664,0,0.037962037962038,0.127872127872128,0.101898101898102,0.20979020979021,0.483516483516484,51.2517545083625,0,-105.728372335423,0.444568933507023,0,0.00599400599400599,0.0559440559440559,0.0819180819180819,0.0799200799200799,0.291708291708292,58.782087432889,0,-103.541744006483,0.148976855172313,0,0.023976023976024,0.0979020979020979,0.0879120879120879,0.153846153846154,0.417582417582418,49.5126256268059,0
"out.ml275","Juncaceae","family","SLA",29,32.557838,3.93447511137891,0.526246700379092,0.001998001998002,0.761238761238761,0.427572427572428,0.261738261738262,0.763236763236763,0.631368631368631,7.09710603353948,1,5.1953220761035,0.280156011674443,0.001998001998002,0.535464535464535,0.363636363636364,0.247752247752248,0.501498501498502,0.531468531468531,7.42546383803661,1,5.93445500879908,0.193597287946464,0,0.767232767232767,0.42957042957043,0.247752247752248,0.741258741258741,0.679320679320679,7.84407920457098,0
"out.ml276","Caryophyllales","order","SLA",131,89.460937,-46.3668352271392,0.00494504948344789,0,0.03996003996004,0.487512487512487,0.033966033966034,0.225774225774226,0.0539460539460539,45.8185260322777,0,-56.9720066025644,0.993240330566098,0,0.003996003996004,0.12987012987013,0.147852147852148,0.175824175824176,0.0739260739260739,55.576799141339,0,-44.3618133877659,0.00181461995045462,0,0.033966033966034,0.627372627372627,0.0559440559440559,0.247752247752248,0.0919080919080919,50.1885338384291,0
"out.ml277","Ericales","order","SLA",97,92.447878,11.4781746422886,0.377227287661776,0,0.0739260739260739,0.923076923076923,0.137862137862138,0.38961038961039,0.465534465534466,25.7100420860593,0,10.9798380810178,0.483966733281865,0,0.017982017982018,0.639360639360639,0.203796203796204,0.215784215784216,0.799200799200799,28.0095242438197,0,13.4777161761096,0.138805979056359,0,0.045954045954046,0.929070929070929,0.167832167832168,0.451548451548452,0.767232767232767,25.7873084950365,0
"out.ml278","Dipsacales","order","SLA",36,91.355928,-3.39448153805334,0.195868988460645,0,0.291708291708292,0.521478521478521,0.549450549450549,0.603396603396603,0.245754245754246,12.8182082429703,0,-6.03133287341358,0.732066734527439,0,0.341658341658342,0.167832167832168,0.665334665334665,0.383616383616384,0.303696303696304,12.223240916682,0,-1.39470643310881,0.0720642770119162,0,0.281718281718282,0.519480519480519,0.571428571428571,0.533466533466533,0.235764235764236,11.1185999484808,0
"out.ml279","Asterales","order","SLA",216,83.663672,37.1649143470342,1.7732370380719e-16,0,0,0.147852147852148,0,0.325674325674326,0.859140859140859,128.853307190715,0,-35.3721952060315,0.999999999999999,0,0,0.011988011988012,0,0.335664335664336,0.363636363636364,96.2567483211952,0,33.7884006104441,9.59328696767417e-16,0,0.00799200799200799,0.271728271728272,0,0.495504495504495,0.945054945054945,125.93314665474,0
"out.ml280","Gentianales","order","SLA",65,58.804913,-11.0783384304482,0.358749001113486,0,0.147852147852148,0.969030969030969,0.649350649350649,0.537462537462537,0.979020979020979,18.9966918089038,0,-11.7788933301739,0.509230331858065,0,0.121878121878122,0.509490509490509,0.739260739260739,0.543456543456543,0.785214785214785,17.0768904909296,0,-9.07900942246992,0.132020667028449,0,0.143856143856144,0.947052947052947,0.623376623376623,0.515484515484515,0.797202797202797,19.1769411546966,0
"out.ml281","random","timeslice","SLA",2194,217.632627,-337.699425108692,3.14128049077093e-31,0,0,0.00599400599400599,0.001998001998002,0.125874125874126,0.003996003996004,711.55432779395,0,-478.170439841521,1,0,0,0,0.001998001998002,0,0,773.328741367947,0,-335.093487189313,8.53560851136263e-32,0,0,0.00799200799200799,0.001998001998002,0.0559440559440559,0.00799200799200799,715.974465510671,0
"out.ml282","random","timeslice","SLA",2193,190.540563,-339.485091025843,1.01066131435811e-30,0,0,0.011988011988012,0.001998001998002,0.0759240759240759,0.035964035964036,720.951445785476,0,-477.61898683893,1,0,0,0,0.00599400599400599,0,0.001998001998002,722.260239188525,0,-337.471582004797,3.69298644626677e-31,0,0,0.017982017982018,0.001998001998002,0.0659340659340659,0.00999000999000999,732.200462914229,0
"out.ml283","random","timeslice","SLA",35,96.478688,-8.32853217596771,0.55926713144813,0,0.14985014985015,0.381618381618382,0.367632367632368,0.28971028971029,0.303696303696304,13.9018556224921,0,-6.5919133881525,0.234702285058384,0,0.143856143856144,0.567432567432567,0.377622377622378,0.267732267732268,0.431568431568432,15.0906261629973,0,-6.331326953031,0.206030583493486,0,0.181818181818182,0.357642357642358,0.365634365634366,0.277722277722278,0.357642357642358,15.3609917056181,0
"out.ml284","random","timeslice","SLA",358,137.533978,28.4232689393472,6.79990309754892e-16,0,0,0.051948051948052,0,0.391608391608392,0.00999000999000999,234.322512825851,0,-41.4256373130222,0.999999999999999,0,0,0,0,0.043956043956044,0.00999000999000999,196.612635674956,0,30.433661509033,2.48857952766051e-16,0,0,0.0679320679320679,0,0.361638361638362,0.013986013986014,227.281023318868,0
