"taxa","rank","trait","size","age","aic.bm","aic.ou","aic.eb","aicw.bm","aicw.ou","aicw.eb","m.sig.ml.bm","c.var.ml.bm","s.var.ml.bm","s.asr.ml.bm","s.hgt.ml.bm","d.cdf.ml.bm","mv.ml.bm","mean.diag.bm","m.sig.ml.ou","c.var.ml.ou","s.var.ml.ou","s.asr.ml.ou","s.hgt.ml.ou","d.cdf.ml.ou","mv.ml.ou","mean.diag.ou","m.sig.ml.eb","c.var.ml.eb","s.var.ml.eb","s.asr.ml.eb","s.hgt.ml.eb","d.cdf.ml.eb","mv.ml.eb","mean.diag.eb"
"random","timeslice","leaf_n",21,46.097344,-37.198332822857,-40.3521384575016,-39.9203473378375,0.102668749538498,0.496910832799609,0.400420417661893,0.709290709290709,0.821178821178821,0.33966033966034,0.181818181818182,0.023976023976024,0.291708291708292,7.71183308528318,355,0.819180819180819,0.541458541458541,0.913086913086913,0.44955044955045,0.619380619380619,0.201798201798202,2.81958912155568,590,0.467532467532468,0.509490509490509,0.925074925074925,0.42957042957043,0.36963036963037,0.181818181818182,4.43178951251584,766
"random","timeslice","leaf_n",78,62.305393,-81.7788016229072,-94.0205882909712,-79.7807079248087,0.00218991152582519,0.997003696799033,0.000806391675141566,0,0.00999000999000999,0,0.017982017982018,0,0.477522477522478,50.9647577792586,1000,0.225774225774226,0.015984015984016,0,0.211788211788212,0.011988011988012,0.383616383616384,22.8305170774829,887,0,0.011988011988012,0,0.021978021978022,0,0.4995004995005,51.0384728188486,1000
"random","timeslice","leaf_n",26,60.184154,-47.9907400503138,-46.2403242902872,-46.000710196928,0.559755808513271,0.233292434988026,0.206951756498703,0.779220779220779,0,0.975024975024975,0.23976023976024,0.491508491508492,0.913086913086913,16.7895304296566,610,0.817182817182817,0.001998001998002,0.491508491508492,0.331668331668332,0.357642357642358,0.965034965034965,18.1050314330098,591,0.705294705294705,0,0.973026973026973,0.245754245754246,0.455544455544456,0.899100899100899,16.9113228953796,647
"random","timeslice","leaf_n",64,64.626816,-99.5043877755245,-97.5018122128152,-98.3365669470705,0.519448352796925,0.190848440363642,0.289703206839433,0.967032967032967,0.829170829170829,0.615384615384615,0.519480519480519,0.487512487512487,0.811188811188811,1.95925386700012,516,0.969030969030969,0.829170829170829,0.615384615384615,0.519480519480519,0.487512487512487,0.811188811188811,1.95755394601238,515,0.703296703296703,0.813186813186813,0.705294705294705,0.581418581418581,0.825174825174825,0.767232767232767,0.990291090962357,648
"random","timeslice","leaf_n",21,61.000234,-17.6086057667293,-24.3479835189262,-15.6039593392253,0.0328552810962416,0.955085984040862,0.0120587348628967,0.02997002997003,0.607392607392607,0.959040959040959,0.0719280719280719,0.0559440559440559,0.751248751248751,14.9214831448019,985,0.805194805194805,0.987012987012987,0.863136863136863,0.23976023976024,0.807192807192807,0.701298701298701,1.63380274928293,597,0.02997002997003,0.593406593406593,0.925074925074925,0.0659340659340659,0.0539460539460539,0.757242757242757,14.7454563375616,985
"random","timeslice","leaf_n",43,65.093443,-53.4541195101002,-57.4887340374645,-51.4557097701992,0.112533717518687,0.846034510814707,0.041431771666606,0.151848151848152,0.0599400599400599,0.003996003996004,0.211788211788212,0.0679320679320679,0.993006993006993,16.2248759151874,924,0.841158841158841,0.0839160839160839,0.023976023976024,0.361638361638362,1.998001998002,0.815184815184815,NA,579,0.127872127872128,0.0599400599400599,0.003996003996004,0.213786213786214,0.0719280719280719,0.989010989010989,16.4047932512944,936
"random","timeslice","leaf_n",53,45.743702,-4.61882817820354,-33.5432434781862,-2.61403303031934,0.000000523772521588734,0.999999284003759,0.000000192223719035753,0,0.211788211788212,0,0.38961038961039,0,0.355644355644356,43.5052972540862,1000,0.897102897102897,0.3996003996004,0.0679320679320679,0.953046953046953,0.959040959040959,0.227772227772228,6.31513126525004,551,0,0.1998001998002,0,0.381618381618382,0,0.347652347652348,43.1800741194958,1000
"random","timeslice","leaf_n",34,58.804913,-14.2418611422531,-24.385428191119,-12.2049388807981,0.00621814667950004,0.991536167932039,0.00224568538846047,0.18981018981019,0.187812187812188,0.011988011988012,0.025974025974026,0,0.707292707292707,18.5604752832535,905,0.815184815184815,0.795204795204795,0.613386613386613,0.211788211788212,0.271728271728272,0.217782217782218,4.28413454500832,592,0.17982017982018,0.18981018981019,0.011988011988012,0.025974025974026,0,0.707292707292707,18.6138451361776,910
"random","timeslice","leaf_n",61,56.240539,-47.753728280492,-66.6767464823379,-45.7514550292131,0.0000777808369448331,0.999893637697122,0.0000285814659326716,0.01998001998002,0.001998001998002,0.017982017982018,0.00799200799200799,0,0.397602397602398,37.6248379668381,990,0.939060939060939,0.0819180819180819,0.345654345654346,0.271728271728272,1.998001998002,0.533466533466533,NA,530,0.01998001998002,0.001998001998002,0.017982017982018,0.00799200799200799,0,0.397602397602398,37.6225053588503,990
"random","timeslice","leaf_n",28,14.197002,29.1657943171562,-18.6266495724113,31.1668836199771,0.0000000000418796140811453,0.999999999942722,0.0000000000153982600562654,0,0,0.00799200799200799,0.001998001998002,0,0.04995004995005,190.590169122031,1000,0.847152847152847,0.001998001998002,0.685314685314685,0.023976023976024,1.998001998002,0.0879120879120879,NA,576,0,0,0.00799200799200799,0.001998001998002,0,0.04995004995005,190.539269419444,1000
